violations_bin,fines_paid,total_fines,total_violations,n_plates,total_penalties,total_interest,share_of_fines_paid_driver_avg,share_of_fines_paid,average_fines,average_penalties,average_interest,outstanding_fines,average_outstanding_fine,penalty_share
1-5,172889583.03,207779717.03,3502001,2063672,32265495,1932684.91,87.57529963540429,83.20811362209987,100.68446779817722,15.634991897937269,0.9365271758302676,34890134.0,16.906821432863364,15.528702926927842
6-10,41638116.75,53364682.86,857941,117036,10316050,644341.15,82.28802505550622,78.02560517268667,455.9681026350866,88.14424621483988,5.5054953176800305,11726566.11,100.19623115964318,19.331230782470353
11-15,15119481.08,21026343.64,330478,26390,4428550,310394.38,76.69700295140568,71.90732415899961,796.7542114437288,167.81167108753317,11.761818112921562,5906862.5600000005,223.82957787040547,21.061912027230616
16-20,6832133.79,10336480.57,159627,9046,2296725,178871.25,71.34567359341301,66.09729243654931,1142.6575912005308,253.89398629228387,19.773518682290515,3504346.7800000003,387.3918615962857,22.21960351442909
21-25,3693198.08,5982032.46,91690,4035,1372975,114501.73,67.2441082938132,61.73818187539558,1482.5359256505576,340.26641883519204,28.377132589838908,2288834.38,567.245199504337,22.95164744057574
26-30,2123850.71,3619500.07,54976,1981,850750,74592.81,64.54756870841686,58.67801267924827,1827.1075567895002,429.454820797577,37.65411913175164,1495649.3599999999,754.997152953054,23.504627256437658
31-35,1378283.03,2499062.03,37478,1144,601025,54538.71,60.94578079055951,55.15201357366868,2184.494781468531,525.3715034965035,47.67369755244755,1120778.9999999998,979.7019230769229,24.05002328013443
36-40,805076.59,1659676.31,24928,660,401975,40899.09,55.55065634255341,48.50804853628355,2514.661075757576,609.0530303030303,61.96831818181818,854599.7200000001,1294.8480606060607,24.22008421630119
41-45,645848.15,1302109.66,19286,450,323125,33121.03,55.589385165988546,49.60013506082122,2893.5770222222222,718.0555555555555,73.60228888888889,656261.5099999999,1458.358911111111,24.815498258418575
46-50,391902.26,914303.94,13278,277,231875,25990.41,49.41829881115139,42.86345523130963,3300.7362454873646,837.0938628158844,93.82819494584838,522401.67999999993,1885.9266425992778,25.360822572852527
51-55,350542.87,712817.3,10788,204,171875,16722.21,55.60507979117892,49.17709909678118,3494.2024509803923,842.5245098039215,81.97161764705882,362274.43000000005,1775.855049019608,24.11206910943379
56-60,226125.14,609845.51,8776,152,158550,16940.89,43.19832486224897,37.0790858163406,4012.1415131578947,1043.092105263158,111.45322368421053,383720.37,2524.4761184210524,25.99838769002333
61-65,191403.96,430871.23,6590,104,106350,11531.63,52.665254393531235,44.42254359846676,4142.992596153846,1022.5961538461538,110.88105769230768,239467.27,2302.569903846154,24.68254842635931
66-70,110987.81999999999,289316.51,4417,65,73875,8072.25,46.48929652683764,38.36207619122739,4451.023230769231,1136.5384615384614,124.18846153846154,178328.69,2743.5183076923076,25.534318798467464
71-75,83238.6,241880.88,3431,47,66350,8102.13,39.49690282953861,34.41305488883619,5146.4017021276595,1411.7021276595744,172.38574468085108,158642.28,3375.3676595744682,27.430857701526467
76-80,83623.3,244835.35,3650,47,65950,6530.75,40.56172839374178,34.15491267907188,5209.262765957447,1403.1914893617022,138.95212765957447,161212.05,3430.0436170212765,26.93646975406125
81-85,52038.68,232315.69,3407,41,68525,8029.8,26.646198368337554,22.399985123690957,5666.236341463415,1671.341463414634,195.84878048780487,180277.01,4397.000243902439,29.496501075756008
86-90,54145.64,160017.62,2371,27,41625,4661.57,42.405333051943614,33.83729866748425,5926.578518518519,1541.6666666666667,172.65074074074073,105871.98,3921.184444444444,26.012760344767035
91-95,35028.86,139805.46,1950,21,38750,4313.55,30.11260614015045,25.055430596201322,6657.402857142857,1845.2380952380952,205.40714285714287,104776.59999999999,4989.361904761904,27.71708629977685
96-100,57653.25,139402.4,2072,21,33100,3134.67,48.71147807492457,41.357430001205145,6638.2095238095235,1576.1904761904761,149.27,81749.15,3892.8166666666666,23.74421100354083
100+,326464.22,1232088.67,17861,121,320050,39875.25,32.7487827201065,26.496812116614947,10182.550991735536,2645.0413223140495,329.547520661157,905624.45,7484.499586776859,25.976214844991635
