plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
126BH0,NY,MOT,4898536918,05/19/2024,02:07P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOUVWWHBPYW10NFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4927291959,11/23/2024,07:09P,PHTO SCHOOL ZN SPEED VIOLATION,02/20/2025,50,25,0.95,0.0,0.0,75.95,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNTZTVFZOVkdzeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4905099780,06/29/2024,04:09P,PHTO SCHOOL ZN SPEED VIOLATION,09/26/2024,50,25,3.68,0.0,0.0,78.68,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNVVRVFZQVkdNMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4929464997,12/08/2024,04:35P,PHTO SCHOOL ZN SPEED VIOLATION,03/06/2025,50,25,0.69,0.0,0.0,75.69,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOVVVVEpPUkdzMVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4931293153,12/25/2024,12:07P,PHTO SCHOOL ZN SPEED VIOLATION,03/20/2025,50,25,0.43,0.0,0.0,75.43,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrMVVTVFZOZWtVeFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4883694069,02/01/2024,12:00P,PHTO SCHOOL ZN SPEED VIOLATION,04/25/2024,50,25,6.54,0.0,0.0,81.54,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMTZXVFZPUkVFeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4885187230,02/12/2024,12:37P,PHTO SCHOOL ZN SPEED VIOLATION,05/09/2024,50,25,6.28,0.0,0.0,81.28,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNVVSVFJPZWtsNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4885546606,02/14/2024,06:47P,PHTO SCHOOL ZN SPEED VIOLATION,05/09/2024,50,25,6.28,0.0,0.0,81.28,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNVVWVEJPYWxsM1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4885968318,02/18/2024,08:19P,PHTO SCHOOL ZN SPEED VIOLATION,05/16/2024,50,25,6.15,0.0,0.0,81.15,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNVVhekpQUkUxNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4887387880,02/29/2024,11:36A,PHTO SCHOOL ZN SPEED VIOLATION,05/23/2024,50,25,6.02,0.0,0.0,81.02,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNTZUVFJPZW1jMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4899297970,05/24/2024,08:35P,PHTO SCHOOL ZN SPEED VIOLATION,08/15/2024,50,25,4.46,0.0,0.0,79.46,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOVVTVFZPZW1zelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4900038490,05/28/2024,08:28P,PHTO SCHOOL ZN SPEED VIOLATION,08/22/2024,50,25,4.33,0.0,0.0,79.33,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMUVRWHBQUkZFMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4901566386,06/07/2024,06:30P,PHTO SCHOOL ZN SPEED VIOLATION,08/29/2024,50,25,4.2,0.0,0.0,79.2,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMVVWVEpPYWswMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4903059080,06/17/2024,04:41P,PHTO SCHOOL ZN SPEED VIOLATION,09/12/2024,50,25,3.94,0.0,0.0,78.94,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMTZRVEZQVkVFMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4903373617,06/18/2024,02:23P,PHTO SCHOOL ZN SPEED VIOLATION,09/12/2024,50,25,3.94,0.0,0.0,78.94,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMTZUVE5OZWxsNFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4903888423,06/21/2024,06:47P,PHTO SCHOOL ZN SPEED VIOLATION,09/19/2024,50,25,3.81,0.0,0.0,78.81,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMTZaelJQUkZGNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4903889166,06/21/2024,07:04P,PHTO SCHOOL ZN SPEED VIOLATION,09/19/2024,50,25,3.81,0.0,0.0,78.81,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMTZaelJQVkVVeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4904030606,06/22/2024,07:57A,PHTO SCHOOL ZN SPEED VIOLATION,09/19/2024,50,25,3.81,0.0,0.0,78.81,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNUVRWHBOUkZsM1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4905324105,07/01/2024,01:43P,PHTO SCHOOL ZN SPEED VIOLATION,09/26/2024,50,25,3.68,0.0,0.0,78.68,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNVVUWGxPUkVWM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4905605581,07/03/2024,08:27A,PHTO SCHOOL ZN SPEED VIOLATION,09/26/2024,50,25,3.68,0.0,0.0,78.68,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNVVXWGRPVkZVMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
126BH0,NY,MOT,4907895859,07/15/2024,05:52P,PHTO SCHOOL ZN SPEED VIOLATION,10/10/2024,50,25,3.42,0.0,0.0,78.42,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNTZaelZPVkdjeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
