plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
3CRA15,MA,PAS,4826460600,02/10/2023,10:42P,PHTO SCHOOL ZN SPEED VIOLATION,05/04/2023,50,25,1.05,0.07,75.98,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVNXFVVEpOUkZsM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
3CRA15,MA,PAS,4842946910,05/27/2023,11:22A,PHTO SCHOOL ZN SPEED VIOLATION,08/17/2023,50,25,8.96,0.1,15.12,68.74,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFhekJPYW10NFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
3CRA15,MA,PAS,4858723835,08/20/2023,06:55A,PHTO SCHOOL ZN SPEED VIOLATION,11/09/2023,50,25,9.65,0.13,0.0,84.52,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VOUVZM2xOZW1kNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
3CRA15,MA,PAS,4860622662,09/01/2023,06:22A,PHTO SCHOOL ZN SPEED VIOLATION,11/23/2023,50,25,9.39,0.13,0.0,84.26,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rMUVXWGxOYWxreVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
3CRA15,MA,PAS,4870743395,11/04/2023,01:59P,PHTO SCHOOL ZN SPEED VIOLATION,01/25/2024,50,25,8.22,0.13,0.0,83.09,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMUVZekJOZWswMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
3CRA15,MA,PAS,4893343105,04/17/2024,10:08A,PHTO SCHOOL ZN SPEED VIOLATION,07/11/2024,50,25,2.45,0.17,77.28,0.0,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMTZUVEJOZWtWM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
3CRA15,MA,PAS,4893679820,04/14/2024,05:58P,PHTO SCHOOL ZN SPEED VIOLATION,07/11/2024,50,25,2.45,0.17,77.28,0.0,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMTZXVE5QVkdkNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
3CRA15,MA,PAS,4899985095,05/31/2024,07:22P,PHTO SCHOOL ZN SPEED VIOLATION,08/22/2024,50,25,1.67,0.08,76.59,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOVVhelJPVkVFMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
3CRA15,MA,PAS,4900343584,05/31/2024,08:48P,PHTO SCHOOL ZN SPEED VIOLATION,08/22/2024,50,25,1.67,0.08,76.59,0.0,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMUVUVEJOZWxVMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
3CRA15,MA,PAS,4900534833,06/02/2024,04:59A,PHTO SCHOOL ZN SPEED VIOLATION,08/22/2024,50,25,1.67,0.08,76.59,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMUVWWHBPUkdkNlRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
