plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
AL38TR,FL,PAS,4838183355,04/23/2023,04:11P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrOUVSVFJOZWsweFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4870348652,10/27/2023,10:32P,PHTO SCHOOL ZN SPEED VIOLATION,01/25/2024,50,25,8.23,0.0,0.0,83.23,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMUVUVEJQUkZreFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4898748480,05/20/2024,11:15P,PHTO SCHOOL ZN SPEED VIOLATION,08/15/2024,50,25,4.46,0.0,0.0,79.46,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOUVZekJQUkZFMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4898749896,05/21/2024,12:17A,PHTO SCHOOL ZN SPEED VIOLATION,08/15/2024,50,25,4.46,0.0,0.0,79.46,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOUVZekJQVkdjMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4898749926,05/21/2024,12:18A,PHTO SCHOOL ZN SPEED VIOLATION,08/15/2024,50,25,4.46,0.0,0.0,79.46,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOUVZekJQVkd0NVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4896807224,05/09/2024,11:52P,PHTO SCHOOL ZN SPEED VIOLATION,08/01/2024,50,25,4.72,0.0,0.0,79.72,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNXFaM2RPZWtsNVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4897276500,05/10/2024,12:27A,PHTO SCHOOL ZN SPEED VIOLATION,08/01/2024,50,25,4.72,0.0,0.0,79.72,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNTZTVE5PYWxWM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4898181843,05/16/2024,11:05P,PHTO SCHOOL ZN SPEED VIOLATION,08/08/2024,50,25,4.59,0.0,0.0,79.59,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOUVSVFJOVkdjd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4898303444,05/17/2024,11:03A,PHTO SCHOOL ZN SPEED VIOLATION,08/08/2024,50,25,4.59,0.0,0.0,79.59,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOUVUWGROZWxFd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4899843562,05/29/2024,11:01A,PHTO SCHOOL ZN SPEED VIOLATION,08/22/2024,50,25,4.33,0.0,0.0,79.33,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOVVaekJOZWxVeVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4901181233,06/04/2024,09:36P,PHTO SCHOOL ZN SPEED VIOLATION,08/29/2024,50,25,4.2,0.0,0.0,79.2,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMVVSVFJOVkVsNlRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4901797219,06/09/2024,04:48P,PHTO SCHOOL ZN SPEED VIOLATION,09/05/2024,50,25,4.07,0.0,0.0,79.07,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMVVZelZPZWtsNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4901948337,06/09/2024,10:26P,PHTO SCHOOL ZN SPEED VIOLATION,09/05/2024,50,25,4.07,0.0,0.0,79.07,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMVVhekJQUkUxNlRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4902946555,06/15/2024,10:52P,PHTO SCHOOL ZN SPEED VIOLATION,09/12/2024,50,25,3.94,0.0,0.0,78.94,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMXFhekJPYWxVeFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4904164611,06/24/2024,01:36P,PHTO SCHOOL ZN SPEED VIOLATION,09/19/2024,50,25,3.81,0.0,0.0,78.81,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNUVSVEpPUkZsNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4904187040,06/24/2024,11:01P,PHTO SCHOOL ZN SPEED VIOLATION,09/19/2024,50,25,3.81,0.0,0.0,78.81,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNUVSVFJPZWtFd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4906518266,07/08/2024,02:39A,PHTO SCHOOL ZN SPEED VIOLATION,10/03/2024,50,25,3.55,0.0,0.0,78.55,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNXFWWGhQUkVreVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4907914520,07/16/2024,05:38A,PHTO SCHOOL ZN SPEED VIOLATION,10/10/2024,50,25,3.42,0.0,0.0,78.42,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNTZhM2hPUkZWNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4913265295,08/17/2024,01:46P,PHTO SCHOOL ZN SPEED VIOLATION,11/14/2024,50,25,2.77,0.0,0.0,77.77,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMTZTVEpPVkVrMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4915944270,09/03/2024,11:52A,PHTO SCHOOL ZN SPEED VIOLATION,11/28/2024,50,25,2.51,0.0,0.0,77.51,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNVVhekJPUkVrelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4917426339,09/14/2024,04:37A,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZVWGxPYWsxNlQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
AL38TR,FL,PAS,4917429407,09/14/2024,05:28A,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZVWGxQVkZGM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
