plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
F83UYT,NJ,PAS,4928558364,12/01/2024,02:48P,PHTO SCHOOL ZN SPEED VIOLATION,02/27/2025,50,25,0.82,0.0,0.0,75.82,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOUVWVEZQUkUweVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
F83UYT,NJ,PAS,4921266803,10/10/2024,10:06A,PHTO SCHOOL ZN SPEED VIOLATION,01/02/2025,50,25,1.86,0.0,0.0,76.86,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMVVTVEpPYW1kM1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
F83UYT,NJ,PAS,4929589678,12/13/2024,08:33A,PHTO SCHOOL ZN SPEED VIOLATION,03/06/2025,50,25,0.69,0.0,0.0,75.69,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOVVWVFJQVkZrelQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
F83UYT,NJ,PAS,4926199920,11/13/2024,12:47P,PHTO SCHOOL ZN SPEED VIOLATION,02/06/2025,50,25,1.21,0.0,0.0,76.21,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNXFSVFZQVkd0NVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
F83UYT,NJ,PAS,4930792459,12/21/2024,10:52A,PHTO SCHOOL ZN SPEED VIOLATION,03/13/2025,50,25,0.56,0.0,0.0,75.56,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrMUVZelZOYWxFeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
F83UYT,NJ,PAS,4928499980,11/30/2024,04:20P,PHTO SCHOOL ZN SPEED VIOLATION,02/27/2025,50,25,0.82,0.0,0.0,75.82,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOUVVVFZQVkdzMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
F83UYT,NJ,PAS,4920562962,10/04/2024,12:45P,PHTO SCHOOL ZN SPEED VIOLATION,01/02/2025,50,25,1.86,0.0,0.0,76.86,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMUVWVEpOYW1zeVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
F83UYT,NJ,PAS,4922457148,10/19/2024,11:59A,PHTO SCHOOL ZN SPEED VIOLATION,01/09/2025,50,25,1.73,0.0,0.0,76.73,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMXFVVEZPZWtVd1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
F83UYT,NJ,PAS,4928269470,11/30/2024,02:52P,PHTO SCHOOL ZN SPEED VIOLATION,02/20/2025,50,25,0.95,0.0,0.0,75.95,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOUVTVEpQVkZFelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
F83UYT,NJ,PAS,4928407222,12/01/2024,12:41P,PHTO SCHOOL ZN SPEED VIOLATION,02/27/2025,50,25,0.82,0.0,0.0,75.82,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOUVVWGRPZWtsNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
