plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
JCC5743,NY,PAS,4867887043,10/15/2023,11:08P,PHTO SCHOOL ZN SPEED VIOLATION,01/04/2024,50,25,8.62,0.0,0.0,83.62,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNTZaelJPZWtFd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JCC5743,NY,PAS,4876654360,12/10/2023,03:54P,PHTO SCHOOL ZN SPEED VIOLATION,03/07/2024,50,25,7.45,0.0,0.0,82.45,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNXFXVEZPUkUweVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JCC5743,NY,PAS,4893545309,04/18/2024,04:59A,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,75.0,0.0,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMTZWVEJPVkUxM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JCC5743,NY,PAS,4890627157,03/28/2024,04:24A,PHTO SCHOOL ZN SPEED VIOLATION,06/20/2024,50,25,5.5,0.0,0.0,80.5,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMUVXWGxPZWtVeFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JCC5743,NY,PAS,4881446393,01/13/2024,04:53A,PHTO SCHOOL ZN SPEED VIOLATION,04/04/2024,50,25,6.93,0.0,0.0,81.93,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMVVVVEJPYWswMVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JCC5743,NY,PAS,4886133824,02/22/2024,03:47P,PHTO SCHOOL ZN SPEED VIOLATION,05/16/2024,50,25,6.15,0.0,0.0,81.15,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNXFSWHBOZW1kNVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JCC5743,NY,PAS,4890626943,03/28/2024,04:11A,PHTO SCHOOL ZN SPEED VIOLATION,06/20/2024,50,25,5.5,0.0,0.0,80.5,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMUVXWGxPYW1zd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JCC5743,NY,PAS,4905709714,07/05/2024,07:12A,PHTO SCHOOL ZN SPEED VIOLATION,09/26/2024,50,25,3.68,0.0,0.0,78.68,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNVVZM2RQVkdONFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JCC5743,NY,PAS,4913153134,08/20/2024,06:14A,PHTO SCHOOL ZN SPEED VIOLATION,11/07/2024,50,25,2.9,0.0,0.0,77.9,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMTZSVEZOZWtWNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JCC5743,NY,PAS,4917006260,09/13/2024,09:19A,PHTO SCHOOL ZN SPEED VIOLATION,12/05/2024,50,25,2.38,0.0,0.0,77.38,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZRWGRPYWtreVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
