plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
JSF2653,NY,PAS,4859662854,08/27/2023,02:38P,PHTO SCHOOL ZN SPEED VIOLATION,11/16/2023,50,25,12.39,0.0,0.0,87.39,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VOVVXVEpOYW1jeFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JSF2653,NY,PAS,4878450265,12/25/2023,11:04A,PHTO SCHOOL ZN SPEED VIOLATION,03/14/2024,50,25,10.18,0.0,0.0,85.18,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOUVVVEZOUkVreVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JSF2653,NY,PAS,4910501344,08/02/2024,04:30P,PHTO SCHOOL ZN SPEED VIOLATION,10/24/2024,50,25,6.02,0.0,0.0,81.02,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMUVWWGROVkUwd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JSF2653,NY,PAS,4912543550,08/16/2024,06:21A,PHTO SCHOOL ZN SPEED VIOLATION,11/07/2024,50,25,5.76,0.0,0.0,80.76,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMXFWVEJOZWxVeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JSF2653,NY,PAS,4917946724,09/22/2024,05:40P,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,5.11,0.0,0.0,80.11,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZhekJPYW1ONVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JSF2653,NY,PAS,4922140104,10/19/2024,01:03A,PHTO SCHOOL ZN SPEED VIOLATION,01/09/2025,50,25,4.59,0.0,0.0,79.59,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMXFSVEJOUkVWM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JSF2653,NY,PAS,4910501344,08/02/2024,04:30P,PHTO SCHOOL ZN SPEED VIOLATION,10/24/2024,50,25,6.02,0.0,0.0,81.02,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMUVWWGROVkUwd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JSF2653,NY,PAS,4912543550,08/16/2024,06:21A,PHTO SCHOOL ZN SPEED VIOLATION,11/07/2024,50,25,5.76,0.0,0.0,80.76,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMXFWVEJOZWxVeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JSF2653,NY,PAS,4914908920,08/30/2024,04:20P,PHTO SCHOOL ZN SPEED VIOLATION,11/21/2024,50,25,5.5,0.0,0.0,80.5,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNUVhM2RQUkd0NVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JSF2653,NY,PAS,4917946724,09/22/2024,05:40P,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,5.11,0.0,0.0,80.11,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZhekJPYW1ONVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
