plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
JUA957,MN,PAS,4861320616,09/01/2023,08:55P,PHTO SCHOOL ZN SPEED VIOLATION,11/30/2023,50,25,9.27,0.0,0.0,84.27,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rMVVUWGxOUkZsNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4865464335,09/25/2023,08:05P,PHTO SCHOOL ZN SPEED VIOLATION,12/21/2023,50,25,8.88,0.0,0.0,83.88,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNVVVVEpPUkUxNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4871225630,11/07/2023,09:47P,PHTO SCHOOL ZN SPEED VIOLATION,02/01/2024,50,25,8.1,0.0,0.0,83.1,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMVVTWGxPVkZsNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4872685556,11/16/2023,03:01P,PHTO SCHOOL ZN SPEED VIOLATION,02/08/2024,50,25,7.97,0.0,0.0,82.97,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMXFXVFJPVkZVeFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4869747571,10/23/2023,02:35P,PHTO SCHOOL ZN SPEED VIOLATION,01/18/2024,50,25,8.36,0.0,0.0,83.36,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOVVZekJPZWxVelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4877755792,12/17/2023,09:13P,PHTO SCHOOL ZN SPEED VIOLATION,03/14/2024,50,25,7.32,0.0,0.0,82.32,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNTZZekZPVkdNMVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4878961727,12/25/2023,08:00P,PHTO SCHOOL ZN SPEED VIOLATION,03/21/2024,50,25,7.19,0.0,0.0,82.19,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOUVhekpOVkdONVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4876714484,12/11/2023,03:35P,PHTO SCHOOL ZN SPEED VIOLATION,03/07/2024,50,25,7.45,0.0,0.0,82.45,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNXFZM2hPUkZFMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4882786199,01/25/2024,10:14A,PHTO SCHOOL ZN SPEED VIOLATION,04/18/2024,50,25,6.67,0.0,0.0,81.67,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMXFZelJPYWtVMVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4912021659,08/11/2024,08:32P,PHTO SCHOOL ZN SPEED VIOLATION,10/31/2024,50,25,3.03,0.0,0.0,78.03,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMXFRWGxOVkZreFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4917485125,09/17/2024,09:44A,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZVVFJPVkVWNVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4917245310,09/16/2024,02:26P,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZTVEJPVkUxNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4917228335,09/16/2024,10:37A,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZTWGxQUkUxNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4883908689,02/03/2024,03:36P,PHTO SCHOOL ZN SPEED VIOLATION,04/25/2024,50,25,6.54,0.0,0.0,81.54,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMTZhM2RQUkZrMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4884562033,02/08/2024,10:20A,PHTO SCHOOL ZN SPEED VIOLATION,05/02/2024,50,25,6.41,0.0,0.0,81.41,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNUVWVEpOYWtGNlRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JUA957,MN,PAS,4886273907,02/21/2024,08:40A,PHTO SCHOOL ZN SPEED VIOLATION,05/16/2024,50,25,6.15,0.0,0.0,81.15,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNXFTVE5OZW10M1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
