plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
JZH5211,OH,PAS,4849569894,07/05/2023,05:37P,PHTO SCHOOL ZN SPEED VIOLATION,09/28/2023,50,25,0.88,0.06,75.82,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FOVVWVEpQVkdjMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JZH5211,OH,PAS,4858275838,08/19/2023,11:53A,PHTO SCHOOL ZN SPEED VIOLATION,11/09/2023,50,25,0.1,0.06,75.04,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VOUVTVE5PVkdkNlQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JZH5211,OH,PAS,4858556037,08/21/2023,08:07A,PHTO SCHOOL ZN SPEED VIOLATION,11/09/2023,50,25,1.38,0.0,76.38,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VOUVWVEZPYWtGNlRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JZH5211,OH,PAS,4858419435,08/16/2023,12:57P,PHTO SCHOOL ZN SPEED VIOLATION,11/09/2023,50,25,0.1,0.06,75.04,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VOUVVWGhQVkZGNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JZH5211,OH,PAS,4837285879,04/21/2023,06:39P,PHTO SCHOOL ZN SPEED VIOLATION,09/14/2023,50,25,0.08,0.04,75.04,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNTZTVFJPVkdjelQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
JZH5211,OH,PAS,4839805003,05/07/2023,09:03P,PHTO SCHOOL ZN SPEED VIOLATION,09/14/2023,50,25,1.14,0.06,76.08,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrOVVaM2RPVkVGM1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
JZH5211,OH,PAS,4843053107,05/26/2023,05:41P,PHTO SCHOOL ZN SPEED VIOLATION,10/19/2023,50,25,0.49,0.06,75.43,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMTZRVEZOZWtWM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
JZH5211,OH,PAS,4847289213,06/19/2023,01:44P,PHTO SCHOOL ZN SPEED VIOLATION,09/14/2023,50,25,1.14,0.06,76.08,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FNTZTVFJQVkVsNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JZH5211,OH,PAS,4858396307,08/20/2023,11:24P,PHTO SCHOOL ZN SPEED VIOLATION,11/09/2023,50,25,4.73,0.0,49.79,29.94,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VOUVUVFZPYWsxM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JZH5211,OH,PAS,4862647273,09/12/2023,02:59P,PHTO SCHOOL ZN SPEED VIOLATION,11/30/2023,50,25,7.15,0.0,15.01,67.14,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rMXFXVEJPZWtrelRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
