plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
K72RCF,NJ,PAS,4830020404,03/06/2023,10:39P,PHTO SCHOOL ZN SPEED VIOLATION,05/25/2023,50,25,15.64,0.0,0.0,90.64,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMUVRWGxOUkZGM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
K72RCF,NJ,PAS,4830020404,03/06/2023,10:39P,PHTO SCHOOL ZN SPEED VIOLATION,05/25/2023,50,25,15.64,0.0,0.0,90.64,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMUVRWGxOUkZGM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
K72RCF,NJ,PAS,4833205040,03/25/2023,09:39P,PHTO SCHOOL ZN SPEED VIOLATION,06/15/2023,50,25,15.25,0.0,0.0,90.25,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMTZTWGRPVkVFd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
K72RCF,NJ,PAS,4867879678,10/15/2023,09:19P,PHTO SCHOOL ZN SPEED VIOLATION,01/04/2024,50,25,11.48,0.0,0.0,86.48,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNTZaek5QVkZrelQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
K72RCF,NJ,PAS,4875563723,12/03/2023,04:53P,PHTO SCHOOL ZN SPEED VIOLATION,02/22/2024,50,25,10.57,0.0,0.0,85.57,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNVVWVEpOZW1ONVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
K72RCF,NJ,PAS,4876291299,12/12/2023,07:49P,PHTO SCHOOL ZN SPEED VIOLATION,02/29/2024,50,25,10.44,0.0,0.0,85.44,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNXFTVFZOVkVrMVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
K72RCF,NJ,PAS,4877459510,12/17/2023,11:04P,PHTO SCHOOL ZN SPEED VIOLATION,03/07/2024,50,25,10.31,0.0,0.0,85.31,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNTZVVEZQVkZWNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
K72RCF,NJ,PAS,4893103635,04/13/2024,07:04P,PHTO SCHOOL ZN SPEED VIOLATION,07/04/2024,50,25,8.1,0.0,0.0,83.1,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMTZSWGROZWxsNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
K72RCF,NJ,PAS,4897205311,05/13/2024,06:43P,PHTO SCHOOL ZN SPEED VIOLATION,08/01/2024,50,25,7.58,0.0,0.0,82.58,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNTZTWGRPVkUxNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
K72RCF,NJ,PAS,4898972093,05/24/2024,11:42P,PHTO SCHOOL ZN SPEED VIOLATION,08/15/2024,50,25,7.32,0.0,0.0,82.32,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOUVhek5OYWtFMVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
