plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
KEE6882,NY,PAS,4836557586,04/14/2023,03:41P,PHTO SCHOOL ZN SPEED VIOLATION,07/06/2023,50,25,0.47,0.04,75.43,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNXFWVEZPZWxVMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KEE6882,NY,PAS,4831021787,03/12/2023,09:51A,PHTO SCHOOL ZN SPEED VIOLATION,06/01/2023,50,25,0.82,0.13,75.69,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMVVRWGxOVkdNMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KEE6882,NY,PAS,4838416271,04/29/2023,08:20A,PHTO SCHOOL ZN SPEED VIOLATION,07/20/2023,50,25,3.44,0.03,78.41,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrOUVVWGhPYWtrelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KEE6882,NY,PAS,4829187827,02/26/2023,02:38P,PHTO SCHOOL ZN SPEED VIOLATION,05/18/2023,50,25,0.3,0.13,75.17,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVOVVSVFJPZW1kNVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KEE6882,NY,PAS,4851757888,07/14/2023,06:49A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,50.0,0.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VMVVZekZPZW1jMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",ADMIN REDUCTION
KEE6882,NY,PAS,4823859546,01/22/2023,09:49A,PHTO SCHOOL ZN SPEED VIOLATION,04/20/2023,50,25,0.17,0.0,75.17,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVMTZaekZQVkZVd1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KEE6882,NY,PAS,4826021884,02/05/2023,09:36A,PHTO SCHOOL ZN SPEED VIOLATION,04/27/2023,50,25,0.04,0.0,75.04,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVNXFRWGxOVkdjMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KEE6882,NY,PAS,4841174102,05/14/2023,09:38A,PHTO SCHOOL ZN SPEED VIOLATION,08/03/2023,50,25,0.08,0.04,75.04,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMVVSVE5PUkVWM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KEE6882,NY,PAS,4827859668,02/19/2023,03:21P,PHTO SCHOOL ZN SPEED VIOLATION,05/11/2023,50,25,0.43,0.13,75.3,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVNTZaekZQVkZreVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KEE6882,NY,PAS,4836950223,04/19/2023,06:10P,PHTO SCHOOL ZN SPEED VIOLATION,07/13/2023,50,25,2.78,0.0,77.78,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNXFhekZOUkVsNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
