plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
KHD6094,NY,PAS,4854943798,07/29/2023,01:59P,PHTO SCHOOL ZN SPEED VIOLATION,10/19/2023,50,25,11.18,0.0,86.18,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNUVhekJOZW1NMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHD6094,NY,PAS,4857015389,08/12/2023,03:50A,PHTO SCHOOL ZN SPEED VIOLATION,11/02/2023,50,25,11.08,0.03,86.05,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNTZRWGhPVkUwMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHD6094,NY,PAS,4857849665,08/16/2023,03:00P,PHTO SCHOOL ZN SPEED VIOLATION,11/09/2023,50,25,11.9,0.01,86.89,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNTZaekJQVkZreVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHD6094,NY,PAS,4860904187,09/02/2023,08:37P,PHTO SCHOOL ZN SPEED VIOLATION,11/23/2023,50,25,11.87,0.02,86.85,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rMUVhM2RPUkVVMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHD6094,NY,PAS,4861107027,09/04/2023,04:32P,PHTO SCHOOL ZN SPEED VIOLATION,11/23/2023,50,25,11.87,0.02,86.85,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rMVVSWGRPZWtGNVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHD6094,NY,PAS,4864556271,09/23/2023,06:37P,PHTO SCHOOL ZN SPEED VIOLATION,12/14/2023,50,25,11.48,0.02,86.46,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNUVWVEZPYWtrelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHD6094,NY,PAS,4865378546,09/30/2023,12:09A,PHTO SCHOOL ZN SPEED VIOLATION,12/21/2023,50,25,11.35,0.02,86.33,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNVVUVE5QUkZVd1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHD6094,NY,PAS,4857570889,08/13/2023,08:05P,PHTO SCHOOL ZN SPEED VIOLATION,11/02/2023,50,25,11.79,0.02,86.77,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNTZWVE5OUkdjMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHD6094,NY,PAS,4857618163,08/15/2023,12:33A,PHTO SCHOOL ZN SPEED VIOLATION,11/02/2023,50,25,11.79,0.02,86.77,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNTZXWGhQUkVVeVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHD6094,NY,PAS,4857770180,08/13/2023,08:31P,PHTO SCHOOL ZN SPEED VIOLATION,11/09/2023,50,25,11.38,0.01,86.37,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNTZZek5OUkVVMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHD6094,NY,PAS,4854498160,07/29/2023,04:19P,PHTO SCHOOL ZN SPEED VIOLATION,10/19/2023,50,25,10.72,0.01,85.71,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNUVVVFZQUkVVeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHD6094,NY,PAS,4854928980,07/29/2023,04:51A,PHTO SCHOOL ZN SPEED VIOLATION,10/19/2023,50,25,10.72,0.01,85.71,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNUVhM2xQUkdzMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHD6094,NY,PAS,4855122981,07/29/2023,04:51A,PHTO SCHOOL ZN SPEED VIOLATION,10/19/2023,50,25,10.72,0.01,85.71,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNVVSWGxOYW1zMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHD6094,NY,PAS,4857849665,08/16/2023,03:00P,PHTO SCHOOL ZN SPEED VIOLATION,11/09/2023,50,25,11.9,0.01,86.89,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNTZaekJQVkZreVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHD6094,NY,PAS,4859814587,08/27/2023,02:08A,PHTO SCHOOL ZN SPEED VIOLATION,11/16/2023,50,25,12.0,0.02,86.98,0.0,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VOVVaM2hPUkZVMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
