plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
KJC7042,NY,PAS,4837491832,04/23/2023,04:15A,PHTO SCHOOL ZN SPEED VIOLATION,07/13/2023,50,25,0.08,0.04,75.04,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNTZVVFZOVkdkNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4828751208,02/26/2023,02:07A,PHTO SCHOOL ZN SPEED VIOLATION,05/18/2023,50,25,0.11,0.07,75.04,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVOUVZekZOVkVsM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4831841936,03/19/2023,03:14A,PHTO SCHOOL ZN SPEED VIOLATION,06/08/2023,50,25,0.23,0.06,75.17,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMVVaekJOVkd0NlRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4843454564,05/30/2023,07:18P,PHTO SCHOOL ZN SPEED VIOLATION,08/17/2023,50,25,0.06,0.02,75.04,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMTZVVEZPUkZVeVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4827417090,02/16/2023,01:24P,PHTO SCHOOL ZN SPEED VIOLATION,05/11/2023,50,25,0.95,0.0,75.95,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVNTZVWGhPZWtFMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4831009052,03/12/2023,01:03A,PHTO SCHOOL ZN SPEED VIOLATION,06/01/2023,50,25,0.36,0.06,75.3,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMVVRWGRQVkVFeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4832029393,03/20/2023,12:03A,PHTO SCHOOL ZN SPEED VIOLATION,06/08/2023,50,25,0.23,0.06,75.17,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMXFRWGxQVkUwMVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4832725166,03/24/2023,10:37P,PHTO SCHOOL ZN SPEED VIOLATION,06/15/2023,50,25,0.3,0.0,75.3,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMXFZM2xPVkVVeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4832781959,03/25/2023,10:43P,PHTO SCHOOL ZN SPEED VIOLATION,06/15/2023,50,25,1.23,0.02,76.21,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMXFZelJOVkdzeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4834755411,04/06/2023,04:24P,PHTO SCHOOL ZN SPEED VIOLATION,06/29/2023,50,25,0.34,0.04,75.3,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNUVZekZPVkZGNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4828752158,02/26/2023,02:25A,PHTO SCHOOL ZN SPEED VIOLATION,05/18/2023,50,25,0.47,0.04,75.43,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVOUVZekZOYWtVeFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4838406514,04/29/2023,12:12A,PHTO SCHOOL ZN SPEED VIOLATION,07/20/2023,50,25,1.25,0.04,76.21,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrOUVVWGRPYWxWNFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4845259813,06/08/2023,11:23A,PHTO SCHOOL ZN SPEED VIOLATION,08/31/2023,50,25,0.1,0.1,75.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FNVVTVEZQVkdkNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4845394479,06/11/2023,01:15A,PHTO SCHOOL ZN SPEED VIOLATION,08/31/2023,50,25,0.62,0.06,75.56,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FNVVUVFZPUkZFelQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4822734511,01/15/2023,11:02P,PHTO SCHOOL ZN SPEED VIOLATION,04/06/2023,50,25,1.04,0.09,75.95,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVMXFZM3BPUkZWNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4856043067,08/06/2023,04:11A,PHTO SCHOOL ZN SPEED VIOLATION,10/26/2023,50,25,2.29,0.1,77.19,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNXFRVEJOZWtFeVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4859838350,08/28/2023,05:26A,PHTO SCHOOL ZN SPEED VIOLATION,11/16/2023,50,25,2.51,0.13,77.38,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VOVVaM3BQUkUweFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4828751452,02/26/2023,02:14A,PHTO SCHOOL ZN SPEED VIOLATION,05/18/2023,50,25,0.11,0.07,75.04,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVOUVZekZOVkZFeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4861823730,09/05/2023,05:44P,PHTO SCHOOL ZN SPEED VIOLATION,11/30/2023,50,25,2.25,0.13,77.12,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rMVVaM2xOZW1ONlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4829822867,02/23/2023,05:46P,PHTO SCHOOL ZN SPEED VIOLATION,05/25/2023,50,25,0.13,0.09,75.04,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVOVVaM2xOYW1jeVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4831842448,03/19/2023,03:26A,PHTO SCHOOL ZN SPEED VIOLATION,06/08/2023,50,25,0.08,0.04,75.04,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMVVaekJOYWxFd1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4832721562,03/24/2023,08:52P,PHTO SCHOOL ZN SPEED VIOLATION,06/15/2023,50,25,1.02,0.07,75.95,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMXFZM2xOVkZVeVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4876863131,12/15/2023,01:50A,PHTO SCHOOL ZN SPEED VIOLATION,03/07/2024,50,25,0.43,0.13,75.3,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNXFaekpOZWtWNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4855756866,08/03/2023,04:10P,PHTO SCHOOL ZN SPEED VIOLATION,10/26/2023,50,25,3.37,0.0,78.37,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNVVZekZPYW1jeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4821783034,01/09/2023,09:33P,PHTO SCHOOL ZN SPEED VIOLATION,03/30/2023,50,25,0.62,0.06,75.56,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVMVVZelJOZWtGNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4824811260,01/29/2023,03:14P,PHTO SCHOOL ZN SPEED VIOLATION,04/20/2023,50,25,0.93,0.03,75.9,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVNUVaM2hOVkVreVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4825608899,02/04/2023,10:15A,PHTO SCHOOL ZN SPEED VIOLATION,04/27/2023,50,25,0.86,0.04,75.82,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVNVVXWGRQUkdjMVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4840642000,05/13/2023,01:33A,PHTO SCHOOL ZN SPEED VIOLATION,08/03/2023,50,25,0.11,0.07,75.04,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMUVXVEJOYWtGM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4843040976,05/27/2023,06:32P,PHTO SCHOOL ZN SPEED VIOLATION,08/17/2023,50,25,2.51,0.0,77.51,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMTZRVEJOUkdzelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4843243220,05/29/2023,03:58P,PHTO SCHOOL ZN SPEED VIOLATION,08/17/2023,50,25,0.36,0.06,75.3,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMTZTVEJOZWtsNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4844608459,06/04/2023,08:28A,PHTO SCHOOL ZN SPEED VIOLATION,08/24/2023,50,25,0.1,0.06,75.04,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FNUVXWGRQUkZFeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4844609518,06/04/2023,08:49A,PHTO SCHOOL ZN SPEED VIOLATION,08/24/2023,50,25,0.99,0.04,75.95,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FNUVXWGRQVkZWNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4846375780,06/16/2023,09:37P,PHTO SCHOOL ZN SPEED VIOLATION,09/07/2023,50,25,0.13,0.09,75.04,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FNXFUVE5PVkdNMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4846595079,06/18/2023,02:38A,PHTO SCHOOL ZN SPEED VIOLATION,09/07/2023,50,25,0.13,0.09,75.04,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FNXFWVFZPVkVFelQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJC7042,NY,PAS,4835558935,04/11/2023,12:41P,PHTO SCHOOL ZN SPEED VIOLATION,06/29/2023,50,25,1.01,0.03,75.98,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNVVWVEZQUkd0NlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
