plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
KJM6620,PA,PAS,4834329859,04/02/2023,08:39P,PHTO SCHOOL ZN SPEED VIOLATION,06/22/2023,50,25,9.98,0.0,24.13,60.85,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNUVUWGxQVkdjeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJM6620,PA,PAS,4913926860,08/23/2024,09:20A,PHTO SCHOOL ZN SPEED VIOLATION,11/14/2024,50,25,2.77,0.0,0.0,77.77,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMTZhM2xPYW1jeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJM6620,PA,PAS,4918293827,09/21/2024,03:21P,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOUVTVFZOZW1kNVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJM6620,PA,PAS,4902080618,06/12/2024,05:49P,PHTO SCHOOL ZN SPEED VIOLATION,09/05/2024,50,25,4.07,0.0,0.0,79.07,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMXFRVFJOUkZsNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJM6620,PA,PAS,4918714833,09/25/2024,06:58A,PHTO SCHOOL ZN SPEED VIOLATION,12/19/2024,50,25,2.12,0.0,0.0,77.12,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOUVZM2hPUkdkNlRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJM6620,PA,PAS,4928638803,12/04/2024,10:54P,PHTO SCHOOL ZN SPEED VIOLATION,02/27/2025,50,25,0.82,0.0,0.0,75.82,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOUVXWHBQUkdkM1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJM6620,PA,PAS,4914704602,08/28/2024,11:45P,PHTO SCHOOL ZN SPEED VIOLATION,11/21/2024,50,25,2.64,0.0,0.0,77.64,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNUVZM2RPUkZsM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJM6620,PA,PAS,4918700202,09/24/2024,10:03P,PHTO SCHOOL ZN SPEED VIOLATION,12/19/2024,50,25,2.12,0.0,0.0,77.12,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOUVZM2ROUkVsM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJM6620,PA,PAS,4900990735,06/06/2024,08:53A,PHTO SCHOOL ZN SPEED VIOLATION,08/29/2024,50,25,4.2,0.0,0.0,79.2,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMUVhelZOUkdONlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJM6620,PA,PAS,4898666140,05/22/2024,08:43A,PHTO SCHOOL ZN SPEED VIOLATION,08/15/2024,50,25,4.46,0.0,0.0,79.46,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOUVXVEpPYWtVd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
