plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
KUB5440,NY,PAS,4830656888,03/11/2023,10:13A,PHTO SCHOOL ZN SPEED VIOLATION,06/01/2023,50,25,15.51,0.0,0.0,90.51,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMUVXVEZPYW1jMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4834755230,04/06/2023,04:22P,PHTO SCHOOL ZN SPEED VIOLATION,06/29/2023,50,25,14.99,0.0,0.0,89.99,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNUVZekZPVkVsNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4830656888,03/11/2023,10:13A,PHTO SCHOOL ZN SPEED VIOLATION,06/01/2023,50,25,15.51,0.0,0.0,90.51,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMUVXVEZPYW1jMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4834755230,04/06/2023,04:22P,PHTO SCHOOL ZN SPEED VIOLATION,06/29/2023,50,25,14.99,0.0,0.0,89.99,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNUVZekZPVkVsNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4847513083,06/22/2023,11:39A,PHTO SCHOOL ZN SPEED VIOLATION,09/14/2023,50,25,13.56,0.0,0.0,88.56,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FNTZWWGhOZWtFMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4874505016,11/28/2023,07:41A,PHTO SCHOOL ZN SPEED VIOLATION,02/15/2024,50,25,10.7,0.0,0.0,85.7,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNUVWWGRPVkVGNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4876012854,12/08/2023,08:34A,PHTO SCHOOL ZN SPEED VIOLATION,02/29/2024,50,25,10.44,0.0,0.0,85.44,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNXFRWGhOYW1jeFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4876875261,12/15/2023,09:30A,PHTO SCHOOL ZN SPEED VIOLATION,03/07/2024,50,25,10.31,0.0,0.0,85.31,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNXFaek5PVkVreVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4881466185,01/13/2024,01:46P,PHTO SCHOOL ZN SPEED VIOLATION,04/04/2024,50,25,9.79,0.0,0.0,84.79,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMVVVVEpPYWtVMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4884273138,02/07/2024,09:28A,PHTO SCHOOL ZN SPEED VIOLATION,05/02/2024,50,25,9.27,0.0,0.0,84.27,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNUVTVE5OZWtWNlQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4883742696,02/02/2024,06:12P,PHTO SCHOOL ZN SPEED VIOLATION,04/25/2024,50,25,9.4,0.0,0.0,84.4,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMTZZekJOYWxrMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4900989265,06/06/2024,08:32A,PHTO SCHOOL ZN SPEED VIOLATION,08/29/2024,50,25,7.06,0.0,0.0,82.06,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMUVhelJQVkVreVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4902534174,06/16/2024,10:46A,PHTO SCHOOL ZN SPEED VIOLATION,09/05/2024,50,25,6.93,0.0,0.0,81.93,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMXFWWHBPUkVVelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4902739021,06/17/2024,06:29A,PHTO SCHOOL ZN SPEED VIOLATION,09/12/2024,50,25,6.8,0.0,0.0,81.8,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMXFZM3BQVkVGNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4904560863,06/28/2024,07:05A,PHTO SCHOOL ZN SPEED VIOLATION,09/19/2024,50,25,6.67,0.0,0.0,81.67,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNUVWVEpOUkdjeVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KUB5440,NY,PAS,4905537253,07/04/2024,10:59A,PHTO SCHOOL ZN SPEED VIOLATION,09/26/2024,50,25,6.54,0.0,0.0,81.54,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNVVWWHBPZWtreFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
