plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
KV476H,FL,PAS,4929728241,12/11/2024,02:01A,PHTO SCHOOL ZN SPEED VIOLATION,03/06/2025,50,25,0.69,0.0,0.0,75.69,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOVVZM2xQUkVrd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4931252771,12/24/2024,07:17P,PHTO SCHOOL ZN SPEED VIOLATION,03/20/2025,50,25,0.43,0.0,0.0,75.43,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrMVVTVEZOYW1NelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4931540703,12/26/2024,11:39P,PHTO SCHOOL ZN SPEED VIOLATION,03/20/2025,50,25,0.43,0.0,0.0,75.43,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrMVVWVEJOUkdOM1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4917029405,09/09/2024,10:05P,PHTO SCHOOL ZN SPEED VIOLATION,12/05/2024,50,25,2.38,0.12,0.0,77.26,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZRWGxQVkZGM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4926198680,11/12/2024,12:49A,PHTO SCHOOL ZN SPEED VIOLATION,02/06/2025,50,25,1.21,0.0,0.0,76.21,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNXFSVFZQUkZrMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4931743961,12/29/2024,01:32A,PHTO SCHOOL ZN SPEED VIOLATION,03/20/2025,50,25,0.43,0.0,0.0,75.43,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrMVVZekJOZW1zeVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4918896789,09/23/2024,12:39A,PHTO SCHOOL ZN SPEED VIOLATION,12/19/2024,50,25,2.12,0.04,0.0,77.08,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOUVaelZPYW1NMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4924172431,11/01/2024,11:25A,PHTO SCHOOL ZN SPEED VIOLATION,01/23/2025,50,25,1.47,0.0,0.0,76.47,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNUVSVE5OYWxGNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4929467615,12/08/2024,05:48P,PHTO SCHOOL ZN SPEED VIOLATION,03/06/2025,50,25,0.69,0.0,0.0,75.69,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOVVVVEpPZWxsNFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4925027864,11/06/2024,10:14P,PHTO SCHOOL ZN SPEED VIOLATION,01/30/2025,50,25,1.34,0.0,0.0,76.34,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNVVRWGxPZW1jeVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4930467469,12/19/2024,11:17A,PHTO SCHOOL ZN SPEED VIOLATION,03/13/2025,50,25,0.56,0.0,0.0,75.56,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrMUVVVEpPZWxFeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4932132463,12/31/2024,07:55P,PHTO SCHOOL ZN SPEED VIOLATION,03/27/2025,50,25,0.3,0.0,0.0,75.3,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrMXFSWHBOYWxFeVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4918442845,09/20/2024,12:58A,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.04,0.0,77.21,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOUVVVEJOYW1jd1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4923805067,10/28/2024,12:35A,PHTO SCHOOL ZN SPEED VIOLATION,01/23/2025,50,25,1.47,0.0,0.0,76.47,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMTZaM2RPVkVFeVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4924221211,11/01/2024,04:19P,PHTO SCHOOL ZN SPEED VIOLATION,01/23/2025,50,25,1.47,0.0,0.0,76.47,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNUVTWGxOVkVsNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4925952171,11/14/2024,10:26A,PHTO SCHOOL ZN SPEED VIOLATION,02/06/2025,50,25,1.21,0.0,0.0,76.21,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNVVhekZOYWtVelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KV476H,FL,PAS,4928857100,12/06/2024,12:30A,PHTO SCHOOL ZN SPEED VIOLATION,02/27/2025,50,25,0.82,0.0,0.0,75.82,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOUVaekZPZWtWM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
