plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
KXM7078,NY,OMS,4921050053,10/10/2024,11:22P,PHTO SCHOOL ZN SPEED VIOLATION,03/13/2025,50,25,0.56,0.0,0.0,75.56,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMVVRVEZOUkVFeFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
KXM7078,NY,OMS,4927008332,11/23/2024,01:56A,PHTO SCHOOL ZN SPEED VIOLATION,02/20/2025,50,25,0.95,0.0,0.0,75.95,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNTZRWGRQUkUxNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
KXM7078,NY,OMS,4920112166,10/06/2024,03:46A,PHTO SCHOOL ZN SPEED VIOLATION,04/03/2025,50,25,0.17,0.0,0.0,75.17,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMUVSWGhOYWtVeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
KXM7078,NY,OMS,4920278858,10/06/2024,02:24A,PHTO SCHOOL ZN SPEED VIOLATION,04/03/2025,50,25,0.17,0.0,0.0,75.17,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMUVTVE5QUkdjeFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
KXM7078,NY,OMS,4920440479,10/06/2024,04:51P,PHTO SCHOOL ZN SPEED VIOLATION,01/02/2025,50,25,1.86,0.0,0.0,76.86,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMUVVVEJOUkZFelQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
KXM7078,NY,OMS,4921041647,10/10/2024,09:29P,PHTO SCHOOL ZN SPEED VIOLATION,03/13/2025,50,25,0.56,0.0,0.0,75.56,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMVVRVEJOVkZrd1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
KXM7078,NY,OMS,4929026684,12/07/2024,10:08A,PHTO SCHOOL ZN SPEED VIOLATION,03/06/2025,50,25,0.69,0.0,0.0,75.69,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOVVRWGxPYWxrMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KXM7078,NY,OMS,4929574213,12/12/2024,11:50P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,0.0,75.0,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOVVWVE5PUkVsNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
KXM7078,NY,OMS,4929577184,12/13/2024,12:18A,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,0.0,75.0,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOVVWVE5PZWtVMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
KXM7078,NY,OMS,4887920349,03/07/2024,08:09P,PHTO SCHOOL ZN SPEED VIOLATION,06/13/2024,50,25,5.63,0.0,0.0,80.63,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNTZhM2xOUkUwd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
