plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
KZB6485,NY,PAS,4820804005,01/02/2023,10:02P,PHTO SCHOOL ZN SPEED VIOLATION,03/30/2023,50,25,0.04,0.04,75.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVMUVaM2RPUkVGM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KZB6485,NY,PAS,4849185770,07/02/2023,09:50A,PHTO SCHOOL ZN SPEED VIOLATION,09/21/2023,50,25,6.39,0.03,81.36,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FOVVSVFJPVkdNelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KZB6485,NY,PAS,4849688524,07/02/2023,09:33A,PHTO SCHOOL ZN SPEED VIOLATION,09/28/2023,50,25,6.41,0.04,81.37,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FOVVXVFJQUkZWNVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KZB6485,NY,PAS,4868926317,10/22/2023,03:44P,PHTO SCHOOL ZN SPEED VIOLATION,01/11/2024,50,25,9.34,0.0,84.34,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOUVhM2xPYWsxNFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KZB6485,NY,PAS,4882809308,01/25/2024,08:11P,PHTO SCHOOL ZN SPEED VIOLATION,04/18/2024,50,25,9.53,0.0,0.0,84.53,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMXFaM2RQVkUxM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KZB6485,NY,PAS,4885393760,02/17/2024,09:06A,PHTO SCHOOL ZN SPEED VIOLATION,05/09/2024,50,25,9.14,0.0,0.0,84.14,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNVVUVFZOZW1NeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KZB6485,NY,PAS,4897511070,05/11/2024,07:39P,PHTO SCHOOL ZN SPEED VIOLATION,08/08/2024,50,25,7.45,0.0,0.0,82.45,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNTZWWGhOVkVFelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KZB6485,NY,PAS,4896620112,05/08/2024,05:39P,PHTO SCHOOL ZN SPEED VIOLATION,08/01/2024,50,25,7.58,0.0,0.0,82.58,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNXFXWGxOUkVWNFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KZB6485,NY,PAS,4898664982,05/22/2024,08:27A,PHTO SCHOOL ZN SPEED VIOLATION,08/15/2024,50,25,7.32,0.0,0.0,82.32,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOUVXVEpPUkdzMFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KZB6485,NY,PAS,4913554360,08/22/2024,08:42A,PHTO SCHOOL ZN SPEED VIOLATION,11/14/2024,50,25,5.63,0.0,0.0,80.63,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMTZWVEZPUkUweVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
