plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
L37UJX,NJ,PAS,4917641676,09/14/2024,06:55A,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZXVEJOVkZrelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
L37UJX,NJ,PAS,4915438223,09/02/2024,07:43A,PHTO SCHOOL ZN SPEED VIOLATION,11/28/2024,50,25,2.51,0.0,0.0,77.51,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNVVVWHBQUkVsNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
L37UJX,NJ,PAS,4917301750,09/18/2024,11:16A,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZUWGROVkdNeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
L37UJX,NJ,PAS,4917620569,09/12/2024,05:03A,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZXWGxOUkZVeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
L37UJX,NJ,PAS,4917793610,09/15/2024,01:17P,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZZelZOZWxsNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
L37UJX,NJ,PAS,4917804851,09/16/2024,06:00A,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZaM2RPUkdjeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
L37UJX,NJ,PAS,4917828326,09/19/2024,04:06A,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZaM2xQUkUxNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
L37UJX,NJ,PAS,4917868683,09/21/2024,04:57A,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZaekpQUkZrMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
L37UJX,NJ,PAS,4918917320,09/25/2024,10:17A,PHTO SCHOOL ZN SPEED VIOLATION,12/19/2024,50,25,2.12,0.0,0.0,77.12,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOUVhM2hPZWsxNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
L37UJX,NJ,PAS,4918926289,09/26/2024,04:20A,PHTO SCHOOL ZN SPEED VIOLATION,12/19/2024,50,25,2.12,0.0,0.0,77.12,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOUVhM2xPYWtrMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
L37UJX,NJ,PAS,4920319332,10/07/2024,06:00A,PHTO SCHOOL ZN SPEED VIOLATION,12/26/2024,50,25,1.99,0.0,0.0,76.99,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMUVUWGhQVkUxNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
L37UJX,NJ,PAS,4922903112,10/22/2024,01:07P,PHTO SCHOOL ZN SPEED VIOLATION,01/16/2025,50,25,1.6,0.0,0.0,76.6,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMXFhM2ROZWtWNFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
L37UJX,NJ,PAS,4922904414,10/22/2024,01:24P,PHTO SCHOOL ZN SPEED VIOLATION,01/16/2025,50,25,1.6,0.0,0.0,76.6,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMXFhM2RPUkZGNFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
