plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
LAC2752,NY,PAS,4843789598,05/29/2023,12:57A,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,75.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMTZZelJQVkZVMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4866674817,10/03/2023,04:34P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNXFXVE5PUkdkNFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4846148609,06/12/2023,05:36P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FNXFSVEJQUkZsM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4852212752,07/14/2023,09:46A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,50.0,0.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VMXFTWGhOYW1NeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",ADMIN REDUCTION
LAC2752,NY,PAS,4865667386,09/26/2023,11:31P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNVVXVEpPZWswMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4867915786,10/11/2023,05:04P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNTZhM2hPVkdNMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4840245769,05/06/2023,04:17A,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,75.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMUVTVEJPVkdNeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4863853609,09/15/2023,01:15P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rMTZaekZOZWxsM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4849677710,07/02/2023,03:55A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FOVVXVE5PZW1ONFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4869752153,10/23/2023,04:40P,PHTO SCHOOL ZN SPEED VIOLATION,01/18/2024,50,25,11.22,0.0,0.0,86.22,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOVVZekZOYWtVeFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4870448671,10/29/2023,11:59A,PHTO SCHOOL ZN SPEED VIOLATION,01/25/2024,50,25,11.09,0.0,0.0,86.09,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMUVVVEJQUkZrelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4874359978,11/19/2023,02:25A,PHTO SCHOOL ZN SPEED VIOLATION,02/15/2024,50,25,10.7,0.0,0.0,85.7,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNUVUVEZQVkdzelQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4877313278,12/14/2023,10:14A,PHTO SCHOOL ZN SPEED VIOLATION,03/07/2024,50,25,10.31,0.0,0.0,85.31,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNTZUWGhOZWtrelQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4882249996,01/20/2024,09:27P,PHTO SCHOOL ZN SPEED VIOLATION,04/11/2024,50,25,9.66,0.0,0.0,84.66,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMXFTVEJQVkdzMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4891356844,03/31/2024,09:56A,PHTO SCHOOL ZN SPEED VIOLATION,06/27/2024,50,25,8.23,0.0,0.0,83.23,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMVVUVEZPYW1jd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4895569743,04/28/2024,01:47A,PHTO SCHOOL ZN SPEED VIOLATION,07/25/2024,50,25,7.71,0.0,0.0,82.71,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNVVWVEpQVkdNd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4899081534,05/22/2024,11:09P,PHTO SCHOOL ZN SPEED VIOLATION,08/15/2024,50,25,7.32,0.0,0.0,82.32,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOVVRVFJOVkZWNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4899301923,05/24/2024,11:13P,PHTO SCHOOL ZN SPEED VIOLATION,08/15/2024,50,25,7.32,0.0,0.0,82.32,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOVVUWGROVkd0NVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4899423056,05/25/2024,12:44A,PHTO SCHOOL ZN SPEED VIOLATION,08/22/2024,50,25,7.19,0.0,0.0,82.19,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOVVVWGxOZWtFeFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4899524456,05/26/2024,12:46P,PHTO SCHOOL ZN SPEED VIOLATION,08/22/2024,50,25,7.19,0.0,0.0,82.19,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOVVWWGxPUkZFeFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4907159195,07/12/2024,10:01A,PHTO SCHOOL ZN SPEED VIOLATION,10/03/2024,50,25,6.41,0.0,0.0,81.41,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNTZSVEZQVkVVMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4908366536,07/21/2024,08:23A,PHTO SCHOOL ZN SPEED VIOLATION,10/10/2024,50,25,6.28,0.0,0.0,81.28,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwOUVUVEpPYWxWNlRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4909839630,07/27/2024,03:52P,PHTO SCHOOL ZN SPEED VIOLATION,10/17/2024,50,25,6.15,0.0,0.0,81.15,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwOVVaM3BQVkZsNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4915622721,09/01/2024,08:04A,PHTO SCHOOL ZN SPEED VIOLATION,11/28/2024,50,25,5.37,0.0,0.0,80.37,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNVVXWGxOYW1ONVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4882249996,01/20/2024,09:27P,PHTO SCHOOL ZN SPEED VIOLATION,04/11/2024,50,25,9.66,0.0,0.0,84.66,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMXFTVEJQVkdzMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4891192318,03/31/2024,09:52A,PHTO SCHOOL ZN SPEED VIOLATION,06/20/2024,50,25,8.36,0.0,0.0,83.36,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMVVSVFZOYWsxNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4891356844,03/31/2024,09:56A,PHTO SCHOOL ZN SPEED VIOLATION,06/27/2024,50,25,8.23,0.0,0.0,83.23,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMVVUVEZPYW1jd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAC2752,NY,PAS,4895569743,04/28/2024,01:47A,PHTO SCHOOL ZN SPEED VIOLATION,07/25/2024,50,25,7.71,0.0,0.0,82.71,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNVVWVEpQVkdNd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
