plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
LCB8694,NY,PAS,4862762372,09/09/2023,01:39P,PHTO SCHOOL ZN SPEED VIOLATION,12/07/2023,50,25,9.14,0.0,0.0,84.14,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rMXFZekpOYWswelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCB8694,NY,PAS,4869408193,10/22/2023,03:15P,PHTO SCHOOL ZN SPEED VIOLATION,01/18/2024,50,25,8.36,0.0,0.0,83.36,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOVVVWGRQUkVVMVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCB8694,NY,PAS,4869746890,10/23/2023,02:14P,PHTO SCHOOL ZN SPEED VIOLATION,01/18/2024,50,25,8.36,0.0,0.0,83.36,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOVVZekJPYW1jMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCB8694,NY,PAS,4871318370,11/04/2023,01:56P,PHTO SCHOOL ZN SPEED VIOLATION,02/01/2024,50,25,8.1,0.0,0.0,83.1,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMVVUWGhQUkUwelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCB8694,NY,PAS,4871378550,11/05/2023,11:12A,PHTO SCHOOL ZN SPEED VIOLATION,02/01/2024,50,25,8.1,0.0,0.0,83.1,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMVVUVE5QUkZVeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCB8694,NY,PAS,4872423434,11/11/2023,10:20A,PHTO SCHOOL ZN SPEED VIOLATION,02/08/2024,50,25,7.97,0.0,0.0,82.97,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMXFVWGxOZWxGNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCB8694,NY,PAS,4877768968,12/18/2023,11:06A,PHTO SCHOOL ZN SPEED VIOLATION,03/14/2024,50,25,7.32,0.0,0.0,82.32,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNTZZekpQUkdzeVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCB8694,NY,PAS,4878695559,12/23/2023,03:32P,PHTO SCHOOL ZN SPEED VIOLATION,03/21/2024,50,25,7.19,0.0,0.0,82.19,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOUVXVFZPVkZVeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCB8694,NY,PAS,4878992750,12/26/2023,12:43P,PHTO SCHOOL ZN SPEED VIOLATION,03/21/2024,50,25,7.19,0.0,0.0,82.19,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOUVhelZOYW1NeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCB8694,NY,PAS,4879399528,12/30/2023,10:13A,PHTO SCHOOL ZN SPEED VIOLATION,03/21/2024,50,25,7.19,0.0,0.0,82.19,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVUVFZQVkZWNVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
