plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
LCJ3416,NY,PAS,4876402474,12/10/2023,06:57A,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,75.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNXFVWGROYWxFelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4870687574,11/04/2023,12:59A,PHTO SCHOOL ZN SPEED VIOLATION,01/25/2024,50,25,8.23,0.13,0.0,83.1,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMUVXVFJPZWxVelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4892655843,04/13/2024,06:36P,PHTO SCHOOL ZN SPEED VIOLATION,07/04/2024,50,25,0.04,0.04,75.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMXFXVEZPVkdjd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4895997340,05/03/2024,12:26P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,75.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNVVhelZPZWswd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4903548454,06/23/2024,07:19P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMTZWVEJQUkZFeFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4903953117,06/24/2024,09:13A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMTZhekZOZWtWNFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4892069851,04/08/2024,07:56P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,75.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMXFRVEpQVkdjeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4883205794,01/29/2024,09:36P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMTZTWGRPVkdNMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4893526777,04/17/2024,10:25A,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,75.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMTZWWGxPYW1NelRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4931496799,12/26/2024,10:15A,PHTO SCHOOL ZN SPEED VIOLATION,03/20/2025,50,25,0.43,0.0,0.0,75.43,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrMVVVVFZPYW1NMVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4924420499,11/03/2024,09:05A,PHTO SCHOOL ZN SPEED VIOLATION,01/23/2025,50,25,1.47,0.0,0.0,76.47,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNUVVWGxOUkZFMVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4905329759,07/01/2024,03:30P,PHTO SCHOOL ZN SPEED VIOLATION,09/26/2024,50,25,3.68,0.0,0.0,78.68,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNVVUWGxQVkdNeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4905844101,07/07/2024,03:00P,PHTO SCHOOL ZN SPEED VIOLATION,09/26/2024,50,25,3.68,0.0,0.0,78.68,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNVVaekJPUkVWM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4908161586,07/18/2024,12:27P,PHTO SCHOOL ZN SPEED VIOLATION,10/10/2024,50,25,3.42,0.0,0.0,78.42,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwOUVSVEpOVkZVMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4913375544,08/21/2024,05:20P,PHTO SCHOOL ZN SPEED VIOLATION,01/09/2025,50,25,1.73,0.0,0.0,76.73,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMTZUVE5PVkZVd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
LCJ3416,NY,PAS,4917066645,09/12/2024,01:43P,PHTO SCHOOL ZN SPEED VIOLATION,12/05/2024,50,25,2.38,0.0,0.0,77.38,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZRVEpPYWxrd1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4922271740,10/16/2024,10:14A,PHTO SCHOOL ZN SPEED VIOLATION,01/09/2025,50,25,1.73,0.0,0.0,76.73,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMXFTVE5OVkdNd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LCJ3416,NY,PAS,4924933030,11/06/2024,10:49A,PHTO SCHOOL ZN SPEED VIOLATION,01/30/2025,50,25,1.34,0.0,0.0,76.34,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNUVhM3BOZWtGNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
