plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
LCT2817,NY,OMS,4866370361,10/05/2023,04:54P,PHTO SCHOOL ZN SPEED VIOLATION,03/07/2024,50,25,7.45,0.0,0.0,82.45,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNXFUVE5OUkUweVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
LCT2817,NY,OMS,4868572271,10/20/2023,01:18P,PHTO SCHOOL ZN SPEED VIOLATION,03/07/2024,50,25,7.45,0.0,0.0,82.45,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOUVWVE5OYWtrelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
LCT2817,NY,OMS,4868669011,10/19/2023,05:02P,PHTO SCHOOL ZN SPEED VIOLATION,03/07/2024,50,25,7.45,0.0,0.0,82.45,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOUVXVEpQVkVGNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
LCT2817,NY,OMS,4868887452,10/21/2023,08:04P,PHTO SCHOOL ZN SPEED VIOLATION,03/07/2024,50,25,7.45,0.0,0.0,82.45,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOUVaelJPZWxFeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
LCT2817,NY,OMS,4869081623,10/21/2023,08:05P,PHTO SCHOOL ZN SPEED VIOLATION,04/11/2024,50,25,4.71,25.0,0.0,54.71,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOVVRVFJOVkZsNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION
LCT2817,NY,OMS,4870696885,11/04/2023,04:30A,PHTO SCHOOL ZN SPEED VIOLATION,04/11/2024,50,25,6.8,0.0,0.0,81.8,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMUVXVFZPYW1jMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
LCT2817,NY,OMS,4870760344,11/04/2023,06:22P,PHTO SCHOOL ZN SPEED VIOLATION,04/11/2024,50,25,6.8,0.0,0.0,81.8,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMUVZekpOUkUwd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
LCT2817,NY,OMS,4871508535,11/08/2023,09:56P,PHTO SCHOOL ZN SPEED VIOLATION,04/18/2024,50,25,4.62,25.0,0.0,54.62,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMVVWWGRQUkZWNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION
LCT2817,NY,OMS,4871509382,11/08/2023,10:21P,PHTO SCHOOL ZN SPEED VIOLATION,04/18/2024,50,25,4.62,25.0,0.0,54.62,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMVVWWGRQVkUwMFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION
LCT2817,NY,OMS,4871510621,11/08/2023,10:19P,PHTO SCHOOL ZN SPEED VIOLATION,04/18/2024,50,25,4.62,25.0,0.0,54.62,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMVVWWGhOUkZsNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION
