plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
LEK5239,NY,PAS,4864889594,09/23/2023,03:00P,PHTO SCHOOL ZN SPEED VIOLATION,12/14/2023,50,25,1.85,0.06,76.79,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNUVaelJQVkZVMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEK5239,NY,PAS,4866430084,10/06/2023,10:46A,PHTO SCHOOL ZN SPEED VIOLATION,12/28/2023,50,25,1.55,0.05,76.5,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNXFVWHBOUkVFMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEK5239,NY,PAS,4866562080,10/07/2023,04:30P,PHTO SCHOOL ZN SPEED VIOLATION,12/28/2023,50,25,1.62,0.07,76.55,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNXFWVEpOYWtFMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEK5239,NY,PAS,4867507600,10/12/2023,08:58P,PHTO SCHOOL ZN SPEED VIOLATION,01/04/2024,50,25,1.37,0.06,76.31,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNTZWWGRPZWxsM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEK5239,NY,PAS,4868847284,10/20/2023,08:48P,PHTO SCHOOL ZN SPEED VIOLATION,01/11/2024,50,25,1.36,0.07,76.29,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOUVaekJPZWtrMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEK5239,NY,PAS,4868939403,10/22/2023,06:04P,PHTO SCHOOL ZN SPEED VIOLATION,01/11/2024,50,25,1.29,0.05,76.24,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOUVhM3BQVkZGM1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEK5239,NY,PAS,4877241863,12/16/2023,10:46A,PHTO SCHOOL ZN SPEED VIOLATION,03/07/2024,50,25,7.46,0.0,0.0,82.46,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNTZTVEJOVkdjeVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEK5239,NY,PAS,4919974530,10/05/2024,05:33A,PHTO SCHOOL ZN SPEED VIOLATION,12/26/2024,50,25,0.26,0.09,75.17,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOVVhek5PUkZWNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEK5239,NY,PAS,4919992555,10/05/2024,12:09P,PHTO SCHOOL ZN SPEED VIOLATION,12/26/2024,50,25,0.26,0.09,75.17,0.0,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOVVhelZOYWxVeFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEK5239,NY,PAS,4928286571,12/01/2024,07:47A,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,75.0,0.0,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOUVTVFJPYWxVelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
