plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
LER5337,NY,PAS,4866579857,10/07/2023,08:30P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNXFWVE5QVkdjeFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LER5337,NY,PAS,4867423221,10/12/2023,12:57A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNTZVWGxOZWtsNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LER5337,NY,PAS,4868377516,10/15/2023,04:17A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOUVUVE5PZWxWNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LER5337,NY,PAS,4868751270,10/22/2023,02:29A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOUVZekZOVkVrelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LER5337,NY,PAS,4869372745,10/22/2023,03:22A,PHTO SCHOOL ZN SPEED VIOLATION,01/18/2024,50,25,4.05,0.0,79.05,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOVVUVE5OYW1Nd1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LER5337,NY,PAS,4871835893,11/11/2023,09:21P,PHTO SCHOOL ZN SPEED VIOLATION,02/01/2024,50,25,4.92,0.01,79.91,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMVVaM3BPVkdjMVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LER5337,NY,PAS,4869084235,10/22/2023,02:31A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOVVRVFJPUkVsNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LER5337,NY,PAS,4869371716,10/22/2023,02:37A,PHTO SCHOOL ZN SPEED VIOLATION,01/18/2024,50,25,4.05,0.0,79.05,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOVVUVE5OVkdONFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LER5337,NY,PAS,4870109141,10/31/2023,12:12A,PHTO SCHOOL ZN SPEED VIOLATION,01/18/2024,50,25,4.05,0.0,79.05,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMUVSWGRQVkVVd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LER5337,NY,PAS,4870219736,10/27/2023,05:10A,PHTO SCHOOL ZN SPEED VIOLATION,01/25/2024,50,25,3.91,0.0,78.91,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMUVTWGhQVkdONlRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LER5337,NY,PAS,4872160009,11/11/2023,02:23A,PHTO SCHOOL ZN SPEED VIOLATION,02/01/2024,50,25,4.92,0.01,79.91,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMXFSVEpOUkVGM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
