plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
LEX6751,NY,PAS,4860150892,08/27/2023,10:09A,PHTO SCHOOL ZN SPEED VIOLATION,11/23/2023,50,25,3.16,0.02,78.14,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rMUVSVEZOUkdjMVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
LEX6751,NY,PAS,4862272241,09/09/2023,04:25P,PHTO SCHOOL ZN SPEED VIOLATION,11/30/2023,50,25,4.79,0.01,79.78,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rMXFTVE5OYWtrd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEX6751,NY,PAS,4860636843,09/01/2023,09:15A,PHTO SCHOOL ZN SPEED VIOLATION,11/23/2023,50,25,8.36,0.02,16.56,66.78,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rMUVXWHBPYW1jd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
LEX6751,NY,PAS,4862247672,09/09/2023,12:45P,PHTO SCHOOL ZN SPEED VIOLATION,11/30/2023,50,25,8.55,0.0,11.73,71.82,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rMXFTVEJPZWxrelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEX6751,NY,PAS,4871567898,11/09/2023,08:17P,PHTO SCHOOL ZN SPEED VIOLATION,02/01/2024,50,25,8.1,0.0,0.0,83.1,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMVVWVEpPZW1jMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEX6751,NY,PAS,4873619956,11/23/2023,07:36A,PHTO SCHOOL ZN SPEED VIOLATION,02/15/2024,50,25,7.84,0.0,0.0,82.84,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMTZXWGhQVkdzeFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEX6751,NY,PAS,4874299362,11/26/2023,06:25A,PHTO SCHOOL ZN SPEED VIOLATION,02/15/2024,50,25,7.84,0.0,0.0,82.84,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNUVTVFZQVkUweVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEX6751,NY,PAS,4877236119,12/16/2023,08:37A,PHTO SCHOOL ZN SPEED VIOLATION,03/07/2024,50,25,7.45,0.0,0.0,82.45,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNTZTWHBPYWtWNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEX6751,NY,PAS,4878441835,12/25/2023,08:54A,PHTO SCHOOL ZN SPEED VIOLATION,03/14/2024,50,25,7.32,0.0,0.0,82.32,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOUVVVEJOVkdkNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEX6751,NY,PAS,4891138087,03/29/2024,02:23P,PHTO SCHOOL ZN SPEED VIOLATION,06/20/2024,50,25,5.5,0.0,0.0,80.5,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMVVSWHBQUkVFMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEX6751,NY,PAS,4903144290,06/19/2024,10:09A,PHTO SCHOOL ZN SPEED VIOLATION,09/12/2024,50,25,3.94,0.0,0.0,78.94,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMTZSVEJPUkVrMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LEX6751,NY,PAS,4918049187,09/15/2024,01:43P,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOUVRVEJQVkVVMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
