plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
LFM4533,NY,PAS,4879467376,12/31/2023,03:09A,PHTO SCHOOL ZN SPEED VIOLATION,03/21/2024,50,25,10.05,0.0,0.0,85.05,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVVVEpPZWswelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LFM4533,NY,PAS,4883024271,01/28/2024,04:30A,PHTO SCHOOL ZN SPEED VIOLATION,04/18/2024,50,25,9.53,0.0,0.0,84.53,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMTZRWGxPUkVrelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LFM4533,NY,PAS,4886696340,02/23/2024,11:32P,PHTO SCHOOL ZN SPEED VIOLATION,05/16/2024,50,25,9.01,0.0,0.0,84.01,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNXFXVFZPYWswd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LFM4533,NY,PAS,4886834917,02/27/2024,08:56A,PHTO SCHOOL ZN SPEED VIOLATION,05/16/2024,50,25,9.01,0.0,0.0,84.01,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNXFaM3BPUkd0NFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LFM4533,NY,PAS,4885485459,02/18/2024,07:08A,PHTO SCHOOL ZN SPEED VIOLATION,05/09/2024,50,25,9.14,0.0,0.0,84.14,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNVVVVFJPVkZFeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LFM4533,NY,PAS,4885717449,02/19/2024,02:23P,PHTO SCHOOL ZN SPEED VIOLATION,05/09/2024,50,25,9.14,0.0,0.0,84.14,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNVVZM2hPZWxFd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LFM4533,NY,PAS,4888114626,03/10/2024,05:49A,PHTO SCHOOL ZN SPEED VIOLATION,05/30/2024,50,25,8.75,0.0,0.0,83.75,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FOUVSWGhPUkZsNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LFM4533,NY,PAS,4889044991,03/15/2024,12:23P,PHTO SCHOOL ZN SPEED VIOLATION,06/06/2024,50,25,8.62,0.0,0.0,83.62,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FOVVRVEJPUkdzMVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LFM4533,NY,PAS,4889147822,03/17/2024,10:31A,PHTO SCHOOL ZN SPEED VIOLATION,06/06/2024,50,25,8.62,0.0,0.0,83.62,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FOVVSVEJPZW1kNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LFM4533,NY,PAS,4889326339,03/18/2024,07:09P,PHTO SCHOOL ZN SPEED VIOLATION,06/06/2024,50,25,8.62,0.0,0.0,83.62,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FOVVUWGxPYWsxNlQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
