plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
LGD2417,NY,PAS,4890651342,03/28/2024,04:09P,PHTO SCHOOL ZN SPEED VIOLATION,06/20/2024,50,25,5.5,0.0,0.0,80.5,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMUVXVEZOVkUwd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGD2417,NY,PAS,4917134730,09/17/2024,12:59A,PHTO SCHOOL ZN SPEED VIOLATION,12/05/2024,50,25,2.38,0.0,0.0,77.38,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZSWHBPUkdONlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGD2417,NY,PAS,4902860569,06/19/2024,12:09A,PHTO SCHOOL ZN SPEED VIOLATION,09/12/2024,50,25,3.94,0.0,0.0,78.94,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMXFaekpOUkZVeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGD2417,NY,PAS,4905673914,07/04/2024,08:08P,PHTO SCHOOL ZN SPEED VIOLATION,09/26/2024,50,25,3.68,0.0,0.0,78.68,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNVVXVE5OZW10NFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGD2417,NY,PAS,4924751637,11/05/2024,01:53A,PHTO SCHOOL ZN SPEED VIOLATION,01/30/2025,50,25,1.34,0.0,0.0,76.34,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNUVZekZOVkZsNlRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGD2417,NY,PAS,4923729521,10/30/2024,10:56P,PHTO SCHOOL ZN SPEED VIOLATION,01/23/2025,50,25,1.47,0.0,0.0,76.47,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMTZZM2xQVkZWNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGD2417,NY,PAS,4898289095,05/20/2024,10:13P,PHTO SCHOOL ZN SPEED VIOLATION,08/08/2024,50,25,4.59,0.0,0.0,79.59,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOUVTVFJQVkVFMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGD2417,NY,PAS,4895516520,05/01/2024,12:52A,PHTO SCHOOL ZN SPEED VIOLATION,07/25/2024,50,25,4.85,0.0,0.0,79.85,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNVVWWGhPYWxWNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGD2417,NY,PAS,4900974791,06/06/2024,01:31A,PHTO SCHOOL ZN SPEED VIOLATION,08/29/2024,50,25,4.2,0.0,0.0,79.2,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMUVhek5PUkdNMVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGD2417,NY,PAS,4929404149,12/11/2024,10:23P,PHTO SCHOOL ZN SPEED VIOLATION,03/06/2025,50,25,0.69,0.0,0.0,75.69,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOVVVWGRPUkVVd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGD2417,NY,PAS,4880140685,01/02/2024,11:22A,PHTO SCHOOL ZN SPEED VIOLATION,05/23/2024,50,25,6.02,0.0,0.0,81.02,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMUVSVEJOUkZrMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY
