plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
LGS7468,NY,PAS,4887821426,03/06/2024,12:12A,PHTO SCHOOL ZN SPEED VIOLATION,05/30/2024,50,25,3.51,0.09,78.42,0.0,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNTZaM2xOVkZGNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGS7468,NY,PAS,4927227194,11/24/2024,10:28A,PHTO SCHOOL ZN SPEED VIOLATION,02/13/2025,50,25,1.08,0.0,0.0,76.08,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNTZTWGxPZWtVMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGS7468,NY,PAS,4928035513,11/25/2024,08:20A,PHTO SCHOOL ZN SPEED VIOLATION,02/20/2025,50,25,0.95,0.0,0.0,75.95,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOUVRWHBPVkZWNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGS7468,NY,PAS,4916323269,09/09/2024,10:19A,PHTO SCHOOL ZN SPEED VIOLATION,11/28/2024,50,25,2.51,0.0,0.0,77.51,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNXFUWGxOZWtreVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGS7468,NY,PAS,4885090362,02/12/2024,01:04P,PHTO SCHOOL ZN SPEED VIOLATION,05/09/2024,50,25,6.28,0.0,0.0,81.28,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNVVRVFZOUkUweVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGS7468,NY,PAS,4885354020,02/16/2024,04:23P,PHTO SCHOOL ZN SPEED VIOLATION,05/09/2024,50,25,6.28,0.0,0.0,81.28,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNVVUVEZPUkVGNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGS7468,NY,PAS,4886944176,02/28/2024,06:45A,PHTO SCHOOL ZN SPEED VIOLATION,05/23/2024,50,25,6.02,0.0,0.0,81.02,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNXFhekJPUkVVelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGS7468,NY,PAS,4892054010,04/08/2024,12:51P,PHTO SCHOOL ZN SPEED VIOLATION,06/27/2024,50,25,5.37,0.0,0.0,80.37,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMXFRVEZPUkVGNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGS7468,NY,PAS,4897369540,05/13/2024,08:08A,PHTO SCHOOL ZN SPEED VIOLATION,08/01/2024,50,25,4.72,0.0,0.0,79.72,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNTZUVEpQVkZVd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGS7468,NY,PAS,4897846109,05/17/2024,03:14P,PHTO SCHOOL ZN SPEED VIOLATION,08/08/2024,50,25,4.59,0.0,0.0,79.59,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNTZaekJPYWtWM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGS7468,NY,PAS,4898260718,05/20/2024,08:00A,PHTO SCHOOL ZN SPEED VIOLATION,08/08/2024,50,25,4.59,0.0,0.0,79.59,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VOUVTVEpOUkdONFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGS7468,NY,PAS,4921938465,10/18/2024,08:16A,PHTO SCHOOL ZN SPEED VIOLATION,01/09/2025,50,25,1.73,0.0,0.0,76.73,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMVVhM3BQUkZFeVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGS7468,NY,PAS,4925070502,11/07/2024,02:40P,PHTO SCHOOL ZN SPEED VIOLATION,01/30/2025,50,25,1.34,0.0,0.0,76.34,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNVVRVE5OUkZWM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGS7468,NY,PAS,4925941008,11/14/2024,08:22A,PHTO SCHOOL ZN SPEED VIOLATION,02/06/2025,50,25,1.21,0.0,0.0,76.21,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNVVhekJOVkVGM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LGS7468,NY,PAS,4927060032,11/23/2024,02:52P,PHTO SCHOOL ZN SPEED VIOLATION,02/13/2025,50,25,1.08,0.0,0.0,76.08,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNTZRVEpOUkVGNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
