plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
LHR1977,NY,PAS,4879764796,12/31/2023,06:41P,PHTO SCHOOL ZN SPEED VIOLATION,03/21/2024,50,25,2.03,0.04,76.99,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVZekpPUkdNMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LHR1977,NY,PAS,4879546781,12/31/2023,11:02P,PHTO SCHOOL ZN SPEED VIOLATION,03/21/2024,50,25,7.2,0.0,0.0,82.2,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWVEJPYW1NMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LHR1977,NY,PAS,4879745923,12/31/2023,01:51P,PHTO SCHOOL ZN SPEED VIOLATION,03/21/2024,50,25,7.2,0.0,0.0,82.2,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVZekJPVkd0NVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LHR1977,NY,PAS,4879536222,12/31/2023,07:59P,PHTO SCHOOL ZN SPEED VIOLATION,03/21/2024,50,25,7.2,0.0,0.0,82.2,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVWWHBPYWtsNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LHR1977,NY,PAS,4903428643,06/20/2024,07:03P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,50.0,0.0,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMTZVWGxQUkZrd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",ADMIN REDUCTION
LHR1977,NY,PAS,4880207202,01/04/2024,12:10A,PHTO SCHOOL ZN SPEED VIOLATION,03/28/2024,50,25,1.9,0.04,76.86,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMUVTWGRPZWtsM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LHR1977,NY,PAS,4881150054,01/11/2024,08:55P,PHTO SCHOOL ZN SPEED VIOLATION,04/04/2024,50,25,1.77,0.04,76.73,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMVVSVEZOUkVFeFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LHR1977,NY,PAS,4881400174,01/11/2024,08:50P,PHTO SCHOOL ZN SPEED VIOLATION,04/04/2024,50,25,1.77,0.04,76.73,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMVVVWGROUkVVelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LHR1977,NY,PAS,4883727919,02/02/2024,08:23A,PHTO SCHOOL ZN SPEED VIOLATION,04/25/2024,50,25,1.38,0.04,76.34,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMTZZM2xPZW10NFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LHR1977,NY,PAS,4881563427,01/15/2024,11:18A,PHTO SCHOOL ZN SPEED VIOLATION,04/04/2024,50,25,1.77,0.04,76.73,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMVVWVEpOZWxGNVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LHR1977,NY,PAS,4882263282,01/21/2024,01:58A,PHTO SCHOOL ZN SPEED VIOLATION,04/11/2024,50,25,1.64,0.04,76.6,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMXFTVEpOZWtrMFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LHR1977,NY,PAS,4885647678,02/18/2024,09:05P,PHTO SCHOOL ZN SPEED VIOLATION,05/09/2024,50,25,1.12,0.04,76.08,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNVVXVEJPZWxrelQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
