plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
LLD1506,NY,PAS,4906845861,07/11/2024,01:05A,PHTO SCHOOL ZN SPEED VIOLATION,10/03/2024,50,25,3.63,0.0,0.0,78.63,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNXFaekJPVkdjeVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LLD1506,NY,PAS,4920718068,10/05/2024,10:55A,PHTO SCHOOL ZN SPEED VIOLATION,01/02/2025,50,25,1.93,0.0,0.0,76.93,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMUVZM2hQUkVFeVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LLD1506,NY,PAS,4923741363,10/27/2024,12:10A,PHTO SCHOOL ZN SPEED VIOLATION,01/23/2025,50,25,1.54,0.0,0.0,76.54,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMTZZekJOVkUweVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LLD1506,NY,PAS,4923543840,10/28/2024,04:21A,PHTO SCHOOL ZN SPEED VIOLATION,01/16/2025,50,25,1.67,0.0,0.0,76.67,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMTZWVEJOZW1jd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LLD1506,NY,PAS,4923541374,10/28/2024,12:15A,PHTO SCHOOL ZN SPEED VIOLATION,01/16/2025,50,25,1.67,0.0,0.0,76.67,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMTZWVEJOVkUwelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LLD1506,NY,PAS,4906931777,07/12/2024,12:43A,PHTO SCHOOL ZN SPEED VIOLATION,10/03/2024,50,25,3.63,0.0,0.0,78.63,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNXFhM3BOVkdNelRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LLD1506,NY,PAS,4909452114,07/27/2024,06:57A,PHTO SCHOOL ZN SPEED VIOLATION,10/17/2024,50,25,3.37,0.0,0.0,78.37,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwOVVVVEZOYWtWNFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LLD1506,NY,PAS,4903866579,06/21/2024,11:03A,PHTO SCHOOL ZN SPEED VIOLATION,09/19/2024,50,25,3.89,0.0,0.0,78.89,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMTZaekpPYWxVelQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LLD1506,NY,PAS,4903559610,06/23/2024,11:56P,PHTO SCHOOL ZN SPEED VIOLATION,09/12/2024,50,25,4.02,0.0,0.0,79.02,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMTZWVEZQVkZsNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LLD1506,NY,PAS,4905046786,07/03/2024,01:52A,PHTO SCHOOL ZN SPEED VIOLATION,09/26/2024,50,25,3.76,0.0,0.0,78.76,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNVVRVEJPYW1NMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
