plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
LNC2362,NY,OMS,4909472009,07/27/2024,11:04A,PHTO SCHOOL ZN SPEED VIOLATION,10/17/2024,50,25,1.34,0.13,76.21,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwOVVVVE5OYWtGM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4910184260,07/31/2024,03:46P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMUVSVFJPUkVreVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4910198519,07/31/2024,07:35P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMUVSVFZQUkZWNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4909353008,07/26/2024,06:10A,PHTO SCHOOL ZN SPEED VIOLATION,10/17/2024,50,25,1.34,0.13,76.21,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwOVVUVEZOZWtGM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4915333061,09/02/2024,06:57P,PHTO SCHOOL ZN SPEED VIOLATION,11/28/2024,50,25,2.51,0.0,0.0,77.51,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNVVUWHBOZWtFeVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4924377107,11/02/2024,10:55P,PHTO SCHOOL ZN SPEED VIOLATION,01/30/2025,50,25,1.34,0.0,0.0,76.34,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNUVUVE5PZWtWM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4911563850,08/10/2024,12:29P,PHTO SCHOOL ZN SPEED VIOLATION,11/14/2024,50,25,2.77,0.0,0.0,77.77,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMVVWVEpOZW1jeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4924888199,11/06/2024,04:53A,PHTO SCHOOL ZN SPEED VIOLATION,02/06/2025,50,25,1.21,0.0,0.0,76.21,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNUVaelJQUkVVMVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4924922195,11/06/2024,10:48A,PHTO SCHOOL ZN SPEED VIOLATION,02/06/2025,50,25,1.21,0.0,0.0,76.21,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNUVhM2xOYWtVMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4921567268,10/09/2024,10:03A,PHTO SCHOOL ZN SPEED VIOLATION,01/16/2025,50,25,1.6,0.0,0.0,76.6,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMVVWVEpPZWtreVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4924352019,11/02/2024,04:48P,PHTO SCHOOL ZN SPEED VIOLATION,01/30/2025,50,25,1.34,0.0,0.0,76.34,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNUVUVEZOYWtGNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4925669710,11/11/2024,03:24P,PHTO SCHOOL ZN SPEED VIOLATION,02/13/2025,50,25,1.08,0.0,0.0,76.08,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNVVXVEpQVkdONFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4926325214,11/18/2024,04:14A,PHTO SCHOOL ZN SPEED VIOLATION,02/13/2025,50,25,1.08,0.0,0.0,76.08,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNXFUWGxPVkVsNFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4925763040,11/12/2024,12:16P,PHTO SCHOOL ZN SPEED VIOLATION,02/13/2025,50,25,1.08,0.0,0.0,76.08,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNVVZekpOZWtFd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4929559807,12/12/2024,06:42P,PHTO SCHOOL ZN SPEED VIOLATION,03/13/2025,50,25,0.56,0.0,0.0,75.56,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOVVWVEZQVkdkM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4913758238,08/24/2024,05:06P,PHTO SCHOOL ZN SPEED VIOLATION,11/21/2024,50,25,2.64,0.0,0.0,77.64,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMTZZekZQUkVsNlQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4924752990,11/05/2024,01:33A,PHTO SCHOOL ZN SPEED VIOLATION,02/06/2025,50,25,1.21,0.0,0.0,76.21,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNUVZekZOYW1zMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4918089884,09/15/2024,05:50P,PHTO SCHOOL ZN SPEED VIOLATION,12/19/2024,50,25,2.12,0.0,0.0,77.12,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOUVRVFJQVkdjMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LNC2362,NY,OMS,4927613501,11/27/2024,09:30P,PHTO SCHOOL ZN SPEED VIOLATION,02/27/2025,50,25,0.82,0.0,0.0,75.82,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNTZXWGhOZWxWM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
