plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
MBE1363,PA,PAS,4820584054,01/01/2023,07:35P,PHTO SCHOOL ZN SPEED VIOLATION,03/23/2023,50,25,13.78,0.0,17.33,71.45,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVMUVWVFJPUkVFeFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MBE1363,PA,PAS,4843566780,05/28/2023,10:27P,PHTO SCHOOL ZN SPEED VIOLATION,08/24/2023,50,25,10.91,0.0,16.76,69.15,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMTZWVEpPYW1NMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MBE1363,PA,PAS,4844105000,06/01/2023,10:42P,PHTO SCHOOL ZN SPEED VIOLATION,08/24/2023,50,25,10.91,0.0,16.76,69.15,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FNUVSWGRPVkVGM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MBE1363,PA,PAS,4857409598,08/13/2023,09:19P,PHTO SCHOOL ZN SPEED VIOLATION,11/02/2023,50,25,9.44,0.0,16.5,67.94,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNTZVWGRQVkZVMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MBE1363,PA,PAS,4869281946,10/25/2023,05:39A,PHTO SCHOOL ZN SPEED VIOLATION,01/18/2024,50,25,8.01,0.0,16.21,66.8,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOVVTVFJOVkdzd1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MBE1363,PA,PAS,4888585751,03/12/2024,06:47P,PHTO SCHOOL ZN SPEED VIOLATION,05/30/2024,50,25,5.54,0.0,15.72,64.82,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FOUVWVFJPVkdNeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MBE1363,PA,PAS,4886193894,02/23/2024,11:50P,PHTO SCHOOL ZN SPEED VIOLATION,05/16/2024,50,25,5.8,0.0,15.77,65.03,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNXFSVFZOZW1jMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MBE1363,PA,PAS,4893528609,04/17/2024,11:32A,PHTO SCHOOL ZN SPEED VIOLATION,07/11/2024,50,25,4.76,0.0,15.56,64.2,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMTZWWGxQUkZsM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MBE1363,PA,PAS,4909889772,07/28/2024,04:05P,PHTO SCHOOL ZN SPEED VIOLATION,10/17/2024,50,25,2.94,0.0,15.2,62.74,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwOVVaelJQVkdNelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MBE1363,PA,PAS,4929223714,12/09/2024,09:30P,PHTO SCHOOL ZN SPEED VIOLATION,02/27/2025,50,25,0.82,0.0,0.0,75.82,0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOVVTWGxOZW1ONFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MBE1363,PA,PAS,4929996752,12/16/2024,03:08A,PHTO SCHOOL ZN SPEED VIOLATION,03/06/2025,50,25,0.69,0.0,0.0,75.69,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOVVhelZPYW1NeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MBE1363,PA,PAS,4942556478,04/03/2025,01:20A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,0.0,50.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSck1FMXFWVEZPYWxFelQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MBE1363,PA,PAS,4943913015,04/15/2025,11:46A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,0.0,50.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSck1FMTZhM2hOZWtGNFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
