plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
MJF5321,PA,PAS,4872935433,11/17/2023,05:14A,PHTO SCHOOL ZN SPEED VIOLATION,02/08/2024,50,25,10.83,0.0,0.0,85.83,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMXFhM3BPVkZGNlRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4874920184,11/29/2023,01:20A,PHTO SCHOOL ZN SPEED VIOLATION,02/22/2024,50,25,10.57,0.0,0.0,85.57,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNUVhM2xOUkVVMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4879342531,12/29/2023,02:20P,PHTO SCHOOL ZN SPEED VIOLATION,03/21/2024,50,25,10.05,0.0,0.0,85.05,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVUVEJOYWxWNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4881861554,01/16/2024,08:55P,PHTO SCHOOL ZN SPEED VIOLATION,04/11/2024,50,25,9.66,0.0,0.0,84.66,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMVVaekpOVkZVeFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4882107405,01/18/2024,01:27A,PHTO SCHOOL ZN SPEED VIOLATION,04/11/2024,50,25,9.66,0.0,0.0,84.66,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMXFSWGRPZWxGM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4882204988,01/20/2024,04:30A,PHTO SCHOOL ZN SPEED VIOLATION,04/11/2024,50,25,9.66,0.0,0.0,84.66,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMXFTWGRPUkdzMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4882205208,01/20/2024,04:39A,PHTO SCHOOL ZN SPEED VIOLATION,04/11/2024,50,25,9.66,0.0,0.0,84.66,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMXFTWGRPVkVsM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4882359753,01/20/2024,04:40A,PHTO SCHOOL ZN SPEED VIOLATION,04/11/2024,50,25,9.66,0.0,0.0,84.66,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMXFUVEZQVkdNeFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4880742053,01/08/2024,12:50A,PHTO SCHOOL ZN SPEED VIOLATION,03/28/2024,50,25,9.92,0.0,0.0,84.92,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMUVZekJOYWtFeFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4881406231,01/11/2024,11:47P,PHTO SCHOOL ZN SPEED VIOLATION,04/04/2024,50,25,9.79,0.0,0.0,84.79,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMVVVWGRPYWtsNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4887630608,03/02/2024,04:21A,PHTO SCHOOL ZN SPEED VIOLATION,05/23/2024,50,25,8.88,0.0,0.0,83.88,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNTZXWHBOUkZsM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4890427326,03/23/2024,01:13A,PHTO SCHOOL ZN SPEED VIOLATION,06/20/2024,50,25,8.36,0.0,0.0,83.36,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMUVVWGxPZWsxNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4888461430,03/09/2024,01:40A,PHTO SCHOOL ZN SPEED VIOLATION,05/30/2024,50,25,8.75,0.0,0.0,83.75,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FOUVVVEpOVkZGNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4889645172,03/17/2024,12:07A,PHTO SCHOOL ZN SPEED VIOLATION,06/13/2024,50,25,8.49,0.0,0.0,83.49,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FOVVXVEJPVkVVelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4889911960,03/19/2024,09:27P,PHTO SCHOOL ZN SPEED VIOLATION,06/13/2024,50,25,8.49,0.0,0.0,83.49,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FOVVhM2hOVkdzeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4893427829,04/15/2024,03:31A,PHTO SCHOOL ZN SPEED VIOLATION,07/11/2024,50,25,7.97,0.0,0.0,82.97,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMTZVWGxPZW1kNVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4896488817,05/04/2024,03:19A,PHTO SCHOOL ZN SPEED VIOLATION,08/01/2024,50,25,7.58,0.0,0.0,82.58,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNXFVVFJQUkdkNFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4896491579,05/04/2024,05:58A,PHTO SCHOOL ZN SPEED VIOLATION,08/01/2024,50,25,7.58,0.0,0.0,82.58,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNXFVVFZOVkZVelQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4897515075,05/11/2024,09:41P,PHTO SCHOOL ZN SPEED VIOLATION,08/08/2024,50,25,7.45,0.0,0.0,82.45,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNTZWWGhPVkVFelRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJF5321,PA,PAS,4907690230,07/14/2024,02:08P,PHTO SCHOOL ZN SPEED VIOLATION,10/10/2024,50,25,6.28,0.0,0.0,81.28,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNTZXVFZOUkVsNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
