plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
MJH8541,PA,PAS,4923121130,10/25/2024,07:03A,PHTO SCHOOL ZN SPEED VIOLATION,01/16/2025,50,25,1.6,0.0,0.0,76.6,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMTZSWGxOVkVWNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4920644188,10/09/2024,01:10P,PHTO SCHOOL ZN SPEED VIOLATION,01/02/2025,50,25,1.86,0.0,0.0,76.86,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMUVXVEJPUkVVMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4920349944,10/07/2024,03:33P,PHTO SCHOOL ZN SPEED VIOLATION,12/26/2024,50,25,1.99,0.0,0.0,76.99,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMUVUVEJQVkdzd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4890701400,03/29/2024,04:29P,PHTO SCHOOL ZN SPEED VIOLATION,06/20/2024,50,25,5.5,0.0,0.0,80.5,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VMUVZM2ROVkZGM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4896533770,05/06/2024,07:53P,PHTO SCHOOL ZN SPEED VIOLATION,08/01/2024,50,25,4.72,0.0,0.0,79.72,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNXFWWHBOZW1NelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4903855661,06/25/2024,01:26P,PHTO SCHOOL ZN SPEED VIOLATION,09/12/2024,50,25,3.94,0.0,0.0,78.94,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMTZaekZPVkZreVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4905759330,07/05/2024,06:01P,PHTO SCHOOL ZN SPEED VIOLATION,09/26/2024,50,25,3.68,0.0,0.0,78.68,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNVVZekZQVkUxNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4912654656,08/16/2024,03:18P,PHTO SCHOOL ZN SPEED VIOLATION,11/07/2024,50,25,2.9,0.0,0.0,77.9,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMXFXVEZPUkZreFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4913586397,08/22/2024,10:25P,PHTO SCHOOL ZN SPEED VIOLATION,11/14/2024,50,25,2.77,0.0,0.0,77.77,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMTZWVFJPYWswMVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4915794969,09/04/2024,10:22A,PHTO SCHOOL ZN SPEED VIOLATION,11/28/2024,50,25,2.51,0.0,0.0,77.51,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNVVZelZPUkdzeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4916447232,09/10/2024,07:11A,PHTO SCHOOL ZN SPEED VIOLATION,11/28/2024,50,25,2.51,0.0,0.0,77.51,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNXFVVEJPZWtsNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4916982769,09/11/2024,12:48P,PHTO SCHOOL ZN SPEED VIOLATION,12/05/2024,50,25,2.38,0.0,0.0,77.38,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNXFhelJOYW1NeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4917394399,09/13/2024,06:58P,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZUVFZPUkUwMVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4917602051,09/20/2024,12:24P,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNTZXWGROYWtFeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4918346558,09/22/2024,04:02P,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.25,0.0,0.0,77.25,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOUVUVEJPYWxVeFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4920600150,10/08/2024,04:46P,PHTO SCHOOL ZN SPEED VIOLATION,01/02/2025,50,25,1.86,0.0,0.0,76.86,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMUVXWGROUkVVeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MJH8541,PA,PAS,4922512470,10/21/2024,12:56P,PHTO SCHOOL ZN SPEED VIOLATION,01/09/2025,50,25,1.73,0.0,0.0,76.73,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMXFWWGhOYWxFelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
