plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
RDE3018,NC,PAS,4851885118,07/15/2023,02:59A,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,25.0,50.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VMVVaelJPVkVWNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4865400540,09/30/2023,10:09A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNVVVWGROUkZVd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4865667659,09/26/2023,11:44P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNVVXVEpPZWxreFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4856779631,08/08/2023,02:33P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNXFZek5QVkZsNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4851885416,07/15/2023,03:03A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VMVVaelJPVkZGNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4866301260,10/05/2023,12:51A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNXFUWGROVkVreVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4866725370,10/07/2023,10:52A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNXFZM2xPVkUwelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4845920025,06/10/2023,06:17P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FNVVhM2xOUkVGNVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4854262280,07/26/2023,04:08P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNUVTVEpOYWtrMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4858422720,08/16/2023,02:21P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VOUVVWGxOYW1ONVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4867917424,10/11/2023,05:52P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNTZhM2hPZWxGNVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4868144108,10/17/2023,03:55A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOUVSVEJPUkVWM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4855914940,08/04/2023,03:33P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNVVhM2hPUkdzd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4862553862,09/11/2023,12:00P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rMXFWVEZOZW1jeVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4859315121,08/24/2023,01:25P,PHTO SCHOOL ZN SPEED VIOLATION,11/16/2023,50,25,7.07,0.0,27.52,54.55,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VOVVUWGhPVkVWNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4869051643,10/19/2023,09:24P,PHTO SCHOOL ZN SPEED VIOLATION,01/11/2024,50,25,5.41,0.0,27.14,53.27,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOVVRVEZOVkZrd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4869279083,10/25/2023,03:49A,PHTO SCHOOL ZN SPEED VIOLATION,01/18/2024,50,25,5.27,0.0,27.1,53.17,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOVVTVE5QVkVFMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4869279885,10/25/2023,04:27A,PHTO SCHOOL ZN SPEED VIOLATION,01/18/2024,50,25,5.27,0.0,27.1,53.17,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rOVVTVE5QVkdjMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4870115189,10/31/2023,04:21A,PHTO SCHOOL ZN SPEED VIOLATION,01/18/2024,50,25,5.27,0.0,27.1,53.17,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMUVSWGhPVkVVMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4871290750,11/04/2023,02:56A,PHTO SCHOOL ZN SPEED VIOLATION,02/01/2024,50,25,6.32,0.0,15.06,66.26,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMVVTVFZOUkdNeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4871742325,11/07/2023,04:50A,PHTO SCHOOL ZN SPEED VIOLATION,02/01/2024,50,25,6.32,0.0,15.06,66.26,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMVVZekJOYWsxNVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4871855521,11/12/2023,04:38A,PHTO SCHOOL ZN SPEED VIOLATION,02/01/2024,50,25,6.32,0.0,15.06,66.26,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMVVaekZPVkZWNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4876677529,12/11/2023,04:50A,PHTO SCHOOL ZN SPEED VIOLATION,03/07/2024,50,25,7.45,0.0,0.0,82.45,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNXFXVE5PZWxWNVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4885112527,02/14/2024,02:14A,PHTO SCHOOL ZN SPEED VIOLATION,05/09/2024,50,25,6.28,0.0,0.0,81.28,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNVVSWGhOYWxWNVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4880366328,01/05/2024,09:15P,PHTO SCHOOL ZN SPEED VIOLATION,03/28/2024,50,25,7.06,0.0,0.0,82.06,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMUVUVEpPYWsxNVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4883453832,01/31/2024,09:59A,PHTO SCHOOL ZN SPEED VIOLATION,04/25/2024,50,25,6.54,0.0,0.0,81.54,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMTZVVEZOZW1kNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4883511583,01/31/2024,09:45A,PHTO SCHOOL ZN SPEED VIOLATION,04/25/2024,50,25,6.54,0.0,0.0,81.54,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMTZWWGhOVkZVMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDE3018,NC,PAS,4886919261,02/25/2024,11:18P,PHTO SCHOOL ZN SPEED VIOLATION,05/23/2024,50,25,6.02,0.0,0.0,81.02,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNXFhM2hQVkVreVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
