plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
RNHB86,FL,PAS,4921624483,10/12/2024,07:25A,PHTO SCHOOL ZN SPEED VIOLATION,01/09/2025,50,25,1.73,0.0,0.0,76.73,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMVVXWGxPUkZFMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4922877745,10/22/2024,12:46A,PHTO SCHOOL ZN SPEED VIOLATION,01/16/2025,50,25,1.6,0.0,0.0,76.6,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMXFaek5PZW1Nd1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4926956366,11/22/2024,10:59A,PHTO SCHOOL ZN SPEED VIOLATION,02/13/2025,50,25,1.08,0.0,0.0,76.08,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNXFhekZPYWsweVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4920829220,10/07/2024,03:40A,PHTO SCHOOL ZN SPEED VIOLATION,01/02/2025,50,25,1.86,0.0,0.0,76.86,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMUVaM2xQVkVsNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4929156622,12/06/2024,01:28A,PHTO SCHOOL ZN SPEED VIOLATION,02/27/2025,50,25,0.82,0.0,0.0,75.82,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOVVSVEZPYWxsNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4929416401,12/07/2024,10:15P,PHTO SCHOOL ZN SPEED VIOLATION,03/06/2025,50,25,0.69,0.0,0.0,75.69,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOVVVWGhPYWxGM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4921156402,10/12/2024,07:22A,PHTO SCHOOL ZN SPEED VIOLATION,01/02/2025,50,25,1.86,0.0,0.0,76.86,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMVVSVEZPYWxGM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4923735594,10/26/2024,09:24P,PHTO SCHOOL ZN SPEED VIOLATION,01/23/2025,50,25,1.47,0.0,0.0,76.47,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMTZZM3BPVkZVMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4915086495,09/01/2024,07:47A,PHTO SCHOOL ZN SPEED VIOLATION,11/21/2024,50,25,2.65,0.0,0.0,77.65,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNVVRVFJPYWxFMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4915618006,09/01/2024,05:59A,PHTO SCHOOL ZN SPEED VIOLATION,11/28/2024,50,25,2.52,0.0,0.0,77.52,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNVVXWGhQUkVGM1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4918580373,09/24/2024,02:20P,PHTO SCHOOL ZN SPEED VIOLATION,12/12/2024,50,25,2.26,0.0,0.0,77.26,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOUVWVFJOUkUwelRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4918829831,09/22/2024,12:04A,PHTO SCHOOL ZN SPEED VIOLATION,12/19/2024,50,25,2.12,0.0,0.0,77.12,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOUVaM2xQVkdkNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4919266819,09/24/2024,09:24P,PHTO SCHOOL ZN SPEED VIOLATION,12/19/2024,50,25,2.12,0.0,0.0,77.12,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOVVTVEpPYW1kNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4919274269,09/25/2024,03:36A,PHTO SCHOOL ZN SPEED VIOLATION,12/19/2024,50,25,2.12,0.0,0.0,77.12,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOVVTVE5PUkVreVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4919322185,09/28/2024,03:50P,PHTO SCHOOL ZN SPEED VIOLATION,12/19/2024,50,25,2.12,0.0,0.0,77.12,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOVVUWGxOYWtVMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4919429204,09/26/2024,03:49A,PHTO SCHOOL ZN SPEED VIOLATION,12/19/2024,50,25,2.12,0.0,0.0,77.12,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOVVVWGxQVkVsM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4919551551,10/01/2024,01:27A,PHTO SCHOOL ZN SPEED VIOLATION,12/19/2024,50,25,2.12,0.0,0.0,77.12,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFOVVWVEZOVkZVeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4920541387,10/04/2024,12:06A,PHTO SCHOOL ZN SPEED VIOLATION,01/02/2025,50,25,1.86,0.0,0.0,76.86,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMUVWVEJOVkUwMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RNHB86,FL,PAS,4921154429,10/12/2024,06:57A,PHTO SCHOOL ZN SPEED VIOLATION,01/02/2025,50,25,1.86,0.0,0.0,76.86,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMVVSVEZPUkZGNVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
