plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
RTH0590,GA,PAS,4836372392,04/12/2023,10:36P,PHTO SCHOOL ZN SPEED VIOLATION,07/06/2023,50,25,0.36,0.06,75.3,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNXFUVE5OYWswMVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RTH0590,GA,PAS,4831319570,03/12/2023,03:01P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMVVUWGhQVkZVelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RTH0590,GA,PAS,4832511518,03/19/2023,10:40P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMXFWWGhOVkZWNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RTH0590,GA,PAS,4834244143,03/31/2023,11:32P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,75.0,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNUVTVEJPUkVVd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RTH0590,GA,PAS,4838511140,04/25/2023,10:05P,PHTO SCHOOL ZN SPEED VIOLATION,07/20/2023,50,25,0.1,0.06,75.04,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrOUVWWGhOVkVVd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RTH0590,GA,PAS,4848518507,06/26/2023,11:02P,PHTO SCHOOL ZN SPEED VIOLATION,09/21/2023,50,25,0.37,0.0,75.37,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FOUVWWGhQUkZWM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RTH0590,GA,PAS,4828442248,02/21/2023,04:26P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,25.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVOUVVVEJOYWtrd1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RTH0590,GA,PAS,4830254567,03/05/2023,02:39P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMUVTVEZPUkZVeVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RTH0590,GA,PAS,4877375260,12/15/2023,10:09P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,75.0,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNTZUVE5PVkVreVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RTH0590,GA,PAS,4834528856,04/02/2023,11:40P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,75.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNUVWWGxQUkdjeFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
