plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
TGV9714,VA,PAS,4928347845,12/03/2024,07:52P,PHTO SCHOOL ZN SPEED VIOLATION,02/20/2025,50,25,0.95,0.0,0.0,75.95,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOUVUVEJPZW1jd1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
TGV9714,VA,PAS,4923723233,10/30/2024,07:38P,PHTO SCHOOL ZN SPEED VIOLATION,01/23/2025,50,25,1.47,0.0,0.0,76.47,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMTZZM2xOZWtsNlRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
TGV9714,VA,PAS,4927065145,11/23/2024,04:30P,PHTO SCHOOL ZN SPEED VIOLATION,02/13/2025,50,25,1.08,0.0,0.0,76.08,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNTZRVEpPVkVVd1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
TGV9714,VA,PAS,4921141198,10/12/2024,02:16A,PHTO SCHOOL ZN SPEED VIOLATION,01/02/2025,50,25,1.86,0.0,0.0,76.86,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMVVSVEJOVkVVMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
TGV9714,VA,PAS,4924985296,11/07/2024,04:15A,PHTO SCHOOL ZN SPEED VIOLATION,01/30/2025,50,25,1.34,0.0,0.0,76.34,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNUVhelJPVkVrMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
TGV9714,VA,PAS,4927176034,11/24/2024,02:42A,PHTO SCHOOL ZN SPEED VIOLATION,02/13/2025,50,25,1.08,0.0,0.0,76.08,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNTZSVE5PYWtGNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
TGV9714,VA,PAS,4924756374,11/05/2024,04:10A,PHTO SCHOOL ZN SPEED VIOLATION,01/30/2025,50,25,1.34,0.0,0.0,76.34,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNUVZekZPYWswelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
TGV9714,VA,PAS,4924077823,10/31/2024,04:09P,PHTO SCHOOL ZN SPEED VIOLATION,01/23/2025,50,25,1.47,0.0,0.0,76.47,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNUVRVE5PZW1kNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
TGV9714,VA,PAS,4925390065,11/10/2024,04:19A,PHTO SCHOOL ZN SPEED VIOLATION,02/06/2025,50,25,1.21,0.0,0.0,76.21,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNVVUVFZOUkVFeVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
TGV9714,VA,PAS,4925987800,11/14/2024,08:51P,PHTO SCHOOL ZN SPEED VIOLATION,02/06/2025,50,25,1.21,0.0,0.0,76.21,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVNVVhelJPZW1kM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
