plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
THJ3259,VA,PAS,4907336834,07/15/2024,02:36A,PHTO SCHOOL ZN SPEED VIOLATION,10/03/2024,50,25,0.26,0.0,75.26,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNTZUWHBPYW1kNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
THJ3259,VA,PAS,4906321434,07/10/2024,11:24P,PHTO SCHOOL ZN SPEED VIOLATION,10/03/2024,50,25,0.26,0.0,75.26,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNXFUWGxOVkZGNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
THJ3259,VA,PAS,4907036700,07/13/2024,07:10P,PHTO SCHOOL ZN SPEED VIOLATION,10/03/2024,50,25,0.26,0.0,75.26,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNTZRWHBPYW1OM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
THJ3259,VA,PAS,4907240788,07/13/2024,07:10P,PHTO SCHOOL ZN SPEED VIOLATION,10/03/2024,50,25,0.26,0.0,75.26,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNTZTVEJOUkdNMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
THJ3259,VA,PAS,4908145222,07/17/2024,03:46P,PHTO SCHOOL ZN SPEED VIOLATION,10/10/2024,50,25,0.13,0.0,75.13,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwOUVSVEJPVkVsNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
THJ3259,VA,PAS,4908245721,07/19/2024,07:31P,PHTO SCHOOL ZN SPEED VIOLATION,10/10/2024,50,25,0.13,0.0,75.13,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwOUVTVEJPVkdONVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
THJ3259,VA,PAS,4908526448,07/22/2024,04:52A,PHTO SCHOOL ZN SPEED VIOLATION,10/10/2024,50,25,0.13,0.0,75.13,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwOUVWWGxPYWxFd1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
THJ3259,VA,PAS,4908526497,07/22/2024,04:54A,PHTO SCHOOL ZN SPEED VIOLATION,10/10/2024,50,25,0.13,0.0,75.13,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwOUVWWGxPYWxFMVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
THJ3259,VA,PAS,4908527040,07/22/2024,05:19A,PHTO SCHOOL ZN SPEED VIOLATION,10/10/2024,50,25,0.13,0.0,75.13,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwOUVWWGxPZWtFd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
THJ3259,VA,PAS,4910709629,08/04/2024,03:22A,PHTO SCHOOL ZN SPEED VIOLATION,10/24/2024,50,25,3.23,0.0,0.0,78.23,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMUVZM2RQVkZsNVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
