plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
V63NUD,NJ,PAS,4837814359,04/23/2023,03:28A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNTZaM2hPUkUweFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
V63NUD,NJ,PAS,4878294140,12/24/2023,10:13P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOUVTVFZPUkVVd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
V63NUD,NJ,PAS,4820375090,01/01/2023,11:49A,PHTO SCHOOL ZN SPEED VIOLATION,03/23/2023,50,25,0.08,0.04,75.04,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVMUVUVE5PVkVFMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
V63NUD,NJ,PAS,4828951283,02/25/2023,05:25A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVOUVhekZOVkVrMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
V63NUD,NJ,PAS,4832879881,03/25/2023,04:05A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMXFaek5QVkdjMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
V63NUD,NJ,PAS,4833894180,03/31/2023,01:56P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrMTZaelZPUkVVMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
V63NUD,NJ,PAS,4879114431,12/28/2023,02:44P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVSWGhPUkZGNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
V63NUD,NJ,PAS,4850192646,07/07/2023,03:30A,PHTO SCHOOL ZN SPEED VIOLATION,09/28/2023,50,25,8.65,0.0,39.45,44.2,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VMUVSVFZOYWxrd1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
V63NUD,NJ,PAS,4858731832,08/20/2023,11:12A,PHTO SCHOOL ZN SPEED VIOLATION,11/09/2023,50,25,7.86,0.0,39.07,43.79,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VOUVZM3BOVkdkNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
V63NUD,NJ,PAS,4858774363,08/21/2023,11:43P,PHTO SCHOOL ZN SPEED VIOLATION,11/09/2023,50,25,7.86,0.0,39.07,43.79,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VOUVZek5PUkUweVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
V63NUD,NJ,PAS,4858774430,08/21/2023,11:44P,PHTO SCHOOL ZN SPEED VIOLATION,11/09/2023,50,25,7.86,0.0,39.07,43.79,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VOUVZek5PUkZGNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
V63NUD,NJ,PAS,4864843661,09/21/2023,05:38P,PHTO SCHOOL ZN SPEED VIOLATION,12/14/2023,50,25,7.16,0.0,38.75,43.41,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNUVaekJOZWxreVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
V63NUD,NJ,PAS,4877262556,12/16/2023,08:56P,PHTO SCHOOL ZN SPEED VIOLATION,03/07/2024,50,25,6.74,0.0,28.65,53.09,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wNTZTVEpOYWxVeFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
