plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
W69PBV,NJ,PAS,4836878240,04/17/2023,11:15A,PHTO SCHOOL ZN SPEED VIOLATION,07/13/2023,50,25,2.3,0.0,77.3,0.0,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNXFaek5QUkVrd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4850183130,07/06/2023,11:01P,PHTO SCHOOL ZN SPEED VIOLATION,09/28/2023,50,25,3.63,0.07,78.56,0.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VMUVSVFJOZWtWNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4848706981,06/29/2023,04:27A,PHTO SCHOOL ZN SPEED VIOLATION,09/21/2023,50,25,2.91,0.13,77.78,0.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FOUVZM2RPYW1zMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4826646616,02/11/2023,09:57A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,50.0,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVVNXFXVEJPYWxsNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4837465225,04/21/2023,02:39P,PHTO SCHOOL ZN SPEED VIOLATION,07/13/2023,50,25,11.9,0.0,0.0,86.9,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrNTZVVEpPVkVsNVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4839958312,05/07/2023,07:48P,PHTO SCHOOL ZN SPEED VIOLATION,07/27/2023,50,25,11.64,0.0,0.0,86.64,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVrOVVhekZQUkUxNFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4845101786,06/08/2023,12:41P,PHTO SCHOOL ZN SPEED VIOLATION,08/31/2023,50,25,10.99,0.0,0.0,85.99,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FNVVSWGROVkdNMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4852635043,07/18/2023,09:58P,PHTO SCHOOL ZN SPEED VIOLATION,10/12/2023,50,25,10.21,0.0,0.0,85.21,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VMXFXWHBPVkVFd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4872091255,11/13/2023,01:25P,PHTO SCHOOL ZN SPEED VIOLATION,02/01/2024,50,25,8.12,0.0,0.0,83.12,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wMXFRVFZOVkVreFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4879128788,12/28/2023,06:04P,PHTO SCHOOL ZN SPEED VIOLATION,03/21/2024,50,25,7.21,0.0,0.0,82.21,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk0wOVVSWGxQUkdNMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4922239418,10/20/2024,10:44P,PHTO SCHOOL ZN SPEED VIOLATION,01/09/2025,50,25,0.62,0.01,75.61,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMXFTWHBQVkZGNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4922239418,10/20/2024,10:44P,PHTO SCHOOL ZN SPEED VIOLATION,01/09/2025,50,25,0.62,0.01,75.61,0.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVMXFTWHBQVkZGNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4912278063,08/14/2024,06:20P,PHTO SCHOOL ZN SPEED VIOLATION,11/07/2024,50,25,2.92,0.0,0.0,77.92,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFMXFTVE5QUkVFeVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4916584960,09/09/2024,10:24P,PHTO SCHOOL ZN SPEED VIOLATION,12/05/2024,50,25,2.4,0.0,0.0,77.4,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVFNXFWVFJPUkdzeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4928641863,12/05/2024,12:40A,PHTO SCHOOL ZN SPEED VIOLATION,02/27/2025,50,25,0.83,0.0,0.0,75.83,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVVOUVXVEJOVkdjeVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4881950319,01/18/2024,12:36A,PHTO SCHOOL ZN SPEED VIOLATION,04/11/2024,50,25,6.82,0.0,0.0,81.82,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMVVhekZOUkUxNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4882845489,01/26/2024,06:03P,PHTO SCHOOL ZN SPEED VIOLATION,04/18/2024,50,25,6.69,0.0,0.0,81.69,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMXFaekJPVkZFMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4883666463,02/03/2024,09:56P,PHTO SCHOOL ZN SPEED VIOLATION,04/25/2024,50,25,6.56,0.0,0.0,81.56,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMTZXVEpPYWxFeVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4883787862,02/04/2024,02:27A,PHTO SCHOOL ZN SPEED VIOLATION,04/25/2024,50,25,6.56,0.0,0.0,81.56,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FMTZZelJPZW1jeVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4885467457,02/18/2024,12:47A,PHTO SCHOOL ZN SPEED VIOLATION,05/09/2024,50,25,6.3,0.0,0.0,81.3,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNVVVVEpPZWxFeFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4887364428,03/03/2024,05:40P,PHTO SCHOOL ZN SPEED VIOLATION,05/23/2024,50,25,6.04,0.0,0.0,81.04,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5FNTZUVEpPUkZGNVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4896636107,05/08/2024,11:48P,PHTO SCHOOL ZN SPEED VIOLATION,08/01/2024,50,25,4.74,0.0,0.0,79.74,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk5VNXFXWHBPYWtWM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4902924973,06/14/2024,09:22P,PHTO SCHOOL ZN SPEED VIOLATION,09/12/2024,50,25,3.96,0.0,0.0,78.96,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMXFhM2xPUkdzelRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4903094741,06/18/2024,10:36A,PHTO SCHOOL ZN SPEED VIOLATION,09/12/2024,50,25,3.96,0.0,0.0,78.96,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwMTZRVFZPUkdNd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
W69PBV,NJ,PAS,4906828279,07/10/2024,05:56P,PHTO SCHOOL ZN SPEED VIOLATION,10/03/2024,50,25,3.57,0.0,0.0,78.57,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmQwNXFaM2xQUkVrelQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
