plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
Y26VHW,NJ,PAS,4934236041,01/18/2025,12:17A,PHTO SCHOOL ZN SPEED VIOLATION,04/10/2025,50,25,0.04,0.0,0.0,75.04,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrNUVTWHBPYWtFd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4934185562,01/16/2025,09:22P,PHTO SCHOOL ZN SPEED VIOLATION,04/10/2025,50,25,0.04,0.0,0.0,75.04,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrNUVSVFJPVkZVeVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4933745080,01/13/2025,02:57P,PHTO SCHOOL ZN SPEED VIOLATION,04/03/2025,50,25,0.17,0.0,0.0,75.17,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrMTZZekJPVkVFMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4934187674,01/17/2025,05:09A,PHTO SCHOOL ZN SPEED VIOLATION,04/10/2025,50,25,0.04,0.0,0.0,75.04,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrNUVSVFJPZWxrelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4934808607,01/23/2025,11:04P,PHTO SCHOOL ZN SPEED VIOLATION,04/17/2025,50,25,0.0,0.0,0.0,75.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrNUVaM2RQUkZsM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4937548505,02/19/2025,04:12P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,0.0,75.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrNTZWVEJQUkZWM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4939593113,03/09/2025,01:32P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,0.0,75.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrOVVWVFZOZWtWNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4937061549,02/13/2025,07:43P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,0.0,75.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrNTZRVEpOVkZVd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4941512753,03/24/2025,02:53A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,0.0,50.0,0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSck1FMVVWWGhOYW1NeFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4942760501,04/03/2025,09:43P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0.0,0.0,0.0,50.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSck1FMXFZekpOUkZWM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4934484220,01/19/2025,07:08A,PHTO SCHOOL ZN SPEED VIOLATION,04/17/2025,50,25,0.0,0.0,0.0,75.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrNUVVVFJPUkVsNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4934808565,01/23/2025,11:02P,PHTO SCHOOL ZN SPEED VIOLATION,04/17/2025,50,25,0.0,0.0,0.0,75.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrNUVaM2RQUkZVeVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4935208132,01/28/2025,02:22A,PHTO SCHOOL ZN SPEED VIOLATION,04/17/2025,50,25,0.0,0.0,0.0,75.0,0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrNVVTWGRQUkVWNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4936148350,02/05/2025,10:10P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,0.0,75.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrNXFSVEJQUkUweFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4936149718,02/05/2025,10:51P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,0.0,75.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrNXFSVEJQVkdONFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4937062219,02/13/2025,09:56P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,0.0,75.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrNTZRVEpOYWtsNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4937258345,02/16/2025,08:09P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,0.0,75.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrNTZTVEZQUkUwd1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4937351904,02/17/2025,04:14A,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,0.0,75.0,0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrNTZUVEZOVkd0M1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
Y26VHW,NJ,PAS,4938085276,02/21/2025,09:07P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0.0,0.0,0.0,75.0,0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtScmVrOUVRVFJPVkVrelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
