index,plate,state,license_type,tow_eligible_date,total_fines,amount_paid,amount_due,violations,fines_in_judgement,total_fines_post_tow_eligible,amount_paid_post_tow_eligible,amount_due_post_tow_eligible,violations_post_tow_eligible,plate_id,license_plate_issuing_state,license_plate_type,first_action_date,last_action_date
81,002BLPX,TN,PAS,2024-04-18,674.8100000000001,0.0,674.8100000000001,8,674.8100000000001,0.0,0.0,0.0,0.0,,,,,
177,00824GB,PA,PAS,2024-06-20,839.19,0.0,839.1899999999999,10,839.1899999999999,0.0,0.0,0.0,0.0,,,,,
308,00NTGM,CT,PAS,2024-10-25,509.0,0.0,509.0,6,509.0,0.0,0.0,0.0,0.0,,,,,
416,00SAVP,CT,PAS,2024-01-24,353.20000000000005,0.0,353.2,4,353.2,0.0,0.0,0.0,0.0,,,,,
457,00SPTC,CT,PAS,2024-02-02,516.9300000000001,0.0,516.9300000000001,6,516.9300000000001,0.0,0.0,0.0,0.0,00SPTC,CT,PAS,2024-05-22,2024-05-22
559,00VSGW,CT,PAS,2024-04-27,355.28,0.0,355.28,4,355.28,0.0,0.0,0.0,0.0,,,,,
614,00WUKU,CT,PAS,2024-08-07,419.92,0.0,419.92,5,419.92,0.0,0.0,0.0,0.0,,,,,
929,0141AED,KS,PAS,2024-11-08,1287.22,0.0,1287.22,16,1287.22,0.0,0.0,0.0,0.0,,,,,
1148,01ASSK,FL,PAS,2024-07-13,500.29,0.0,500.29,6,500.29,78.29,0.0,78.29,1.0,,,,,
1314,01BRQH,FL,PAS,2024-01-01,434.74,0.0,434.74,5,434.74,0.0,0.0,0.0,0.0,,,,,
1353,01BTSQ,FL,PAS,2024-02-11,433.72,61.09,372.63,5,372.63,0.0,0.0,0.0,0.0,01BTSQ,FL,PAS,2023-10-19,2023-10-19
1357,01BUUF,FL,PAS,2024-03-17,431.49,0.0,431.49,5,431.49,0.0,0.0,0.0,0.0,,,,,
1407,01BZZC,FL,PAS,2024-10-20,503.81,85.33,418.48,6,418.48,0.0,0.0,0.0,0.0,,,,,
1497,01DMMR,FL,PAS,2024-11-07,1837.86,875.76,962.1,24,962.1,157.75,0.0,157.75,2.0,01DMMR,FL,PAS,2025-02-06,2025-02-06
1509,01DQGB,FL,PAS,2024-06-02,1051.53,141.13,910.4,13,910.4,470.69,30.24,440.45,6.0,01DQGB,FL,PAS,2025-01-16,2025-01-16
1514,01DRCN,FL,PAS,2024-12-01,1910.64,1065.08,845.56,26,620.56,225.0,0.0,225.0,4.0,01DRCN,FL,PAS,2024-02-29,2025-05-22
1549,01EGDN,FL,PAS,2024-08-30,574.81,0.0,574.81,7,574.81,0.0,0.0,0.0,0.0,,,,,
1565,01ELGR,FL,PAS,2024-11-09,794.35,153.68,640.67,10,640.67,0.0,0.0,0.0,0.0,,,,,
1574,01EMYJ,FL,PAS,2024-12-16,2134.43,552.78,1581.65,28,1331.65,325.56,0.0,325.56,5.0,,,,,
1622,02042CL,MD,PAS,2024-05-04,430.06,0.0,430.06,5,430.06,0.0,0.0,0.0,0.0,,,,,
1712,022NH,FL,PAS,2024-05-31,1725.12,416.14,1308.98,21,1233.98,390.72,0.0,390.72,5.0,,,,,
1929,02AAZH,FL,PAS,2024-06-13,424.6,0.0,424.6,5,424.6,0.0,0.0,0.0,0.0,,,,,
1939,02AFYL,FL,PAS,2024-11-17,415.11,0.0,415.11,5,415.11,0.0,0.0,0.0,0.0,02AFYL,FL,PAS,2024-01-11,2024-01-11
1999,02BEXD,FL,PAS,2024-03-18,913.63,152.55,761.08,11,761.08,329.93,0.0,329.93,4.0,02BEXD,FL,PAS,2023-06-05,2024-06-20
2240,02DMPC,FL,PAS,2024-02-13,558.87,50.0,508.87,7,508.87,77.64,0.0,77.64,1.0,,,,,
2270,02DYDE,FL,PAS,2024-03-06,1656.61,0.0,1656.61,20,1656.61,810.82,0.0,810.82,10.0,,,,,
