index,plate,state,license_type,tow_eligible_date,total_fines,amount_paid,amount_due,violations,fines_in_judgement,total_fines_post_tow_eligible,amount_paid_post_tow_eligible,amount_due_post_tow_eligible,violations_post_tow_eligible,n_plates
7602899,WVQ861,SC,PAS,2024-04-18,1838.05,200.0,1638.05,24,1638.05,980.06,0.0,980.06,13.0,96
4789997,KCH4363,NY,PAS,2024-06-20,423.95,0.0,423.95,5,423.95,0.0,0.0,0.0,0.0,99
6390769,LHR1413,NY,PAS,2024-09-14,785.9300000000001,15.08,770.85,10,770.85,76.73,0.0,76.73,1.0,134
6538672,LNC2362,NY,OMS,2024-10-25,6623.22,252.42,6370.8,87,6370.8,2436.12,0.0,2436.12,32.0,155
3442159,HPB1920,NY,PAS,2024-02-02,1654.52,755.89,898.63,20,898.63,396.39,0.0,396.39,5.0,132
5418834,KPT2326,NY,PAS,2024-08-07,649.46,150.91,498.55,8,498.55,0.0,0.0,0.0,0.0,122
6750142,MBN9427,PA,PAS,2024-11-08,485.21,0.0,485.21,6,485.21,76.21,0.0,76.21,1.0,158
7685172,XMA593,SC,PAS,2024-07-13,1895.33,701.62,1193.71,24,1193.71,0.0,0.0,0.0,0.0,109
5347294,KNK7312,NY,PAS,2024-07-08,1227.35,767.66,459.69,16,459.69,0.0,0.0,0.0,0.0,95
6077578,LAX7406,NY,PAS,2024-01-01,5097.54,3488.55,1608.99,70,1608.99,808.12,0.0,808.12,10.0,99
6674883,LWF1290,PA,PAS,2024-02-11,355.28,0.0,355.28,4,355.28,0.0,0.0,0.0,0.0,91
2358,01BUUF,FL,PAS,2024-03-17,417.19,0.0,417.19,5,417.19,0.0,0.0,0.0,0.0,104
6085485,LBC8358,NY,PAS,2024-07-16,974.06,0.0,974.06,12,974.06,0.0,0.0,0.0,0.0,81
630030,886BK4,NY,MOT,2024-11-07,475.33,0.0,475.33,6,475.33,0.0,0.0,0.0,0.0,179
861282,AL65682,AZ,PAS,2024-06-02,553.84,75.0,478.84,7,478.84,75.04,0.0,75.04,1.0,69
7360898,TGK6479,VA,PAS,2024-11-05,544.39,0.0,544.39,7,544.39,0.0,0.0,0.0,0.0,113
6260604,LEK7188,NY,PAS,2024-08-30,2338.7,1472.18,866.52,30,866.52,154.89,0.0,154.89,2.0,195
6492473,LLC1919,NY,PAS,2024-11-09,1534.1,0.0,1534.1,20,1534.1,303.40999999999997,0.0,303.40999999999997,4.0,121
1866543,ET72083,IL,PAS,2024-12-14,617.09,0.0,617.09,8,617.09,0.0,0.0,0.0,0.0,117
3295312,HKS4352,NY,PAS,2024-11-22,5367.44,4763.01,604.43,77,604.43,400.0,200.0,200.0,6.0,149
6788835,MJH7545,PA,PAS,2024-05-31,484.76,60.79,423.97,6,423.97,0.0,0.0,0.0,0.0,118
